STT,Ticker,RMSE,MAE,R2
1,BID.VN,1133.5979,966.9756,0.9031
2,BNB-USD,20.0035,14.5697,0.9615
3,BTC-USD,3668.7521,2626.827,0.9815
4,CTG.VN,1169.8851,919.5804,0.9641
5,ETH-USD,133.5043,99.661,0.9491
6,FPT.VN,11329.6824,6999.6961,0.8703
7,GAS.VN,1260.7546,854.749,0.9259
8,HPG.VN,742.4096,550.4411,0.959
9,NQ=F,1068.3126,705.5285,0.8964
10,SOL-USD,11.1357,8.5929,0.8975
11,TCB.VN,815.2559,612.8046,0.9532
12,USDT-USD,0.0006,0.0004,-0.3048
13,VCB.VN,1979.1933,1672.3267,0.9255
14,VHM.VN,7214.0219,5914.4598,0.7175
15,VIC.VN,6864.6209,5543.7705,0.8903
16,VPB.VN,527.908,371.3462,0.8182
17,^DJI,1941.0764,1368.0015,0.8845
18,^GSPC,1683.2697,1074.7951,-0.4781
19,^NYA,2692.9514,1960.18,0.1474
20,^RUT,124.699,90.6915,0.8215
