Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2023-10-31,BID.VN,30545.2901,29304.0876,27975.6394,30632.5340
2023-11-01,BID.VN,30435.2824,30508.7981,29125.5514,31892.0448
2023-11-02,BID.VN,30655.2953,30434.6229,29056.3579,31812.8879
2023-11-05,BID.VN,30655.2969,30646.2888,29258.0604,32034.5171
2023-11-06,BID.VN,31462.0158,30637.0596,29248.8331,32025.2898
2023-11-07,BID.VN,31425.3464,31442.1995,30017.4388,32866.9583
2023-11-08,BID.VN,30948.6501,31421.9610,29998.8609,32845.0630
2023-11-09,BID.VN,30875.3113,30943.2547,29541.7418,32344.7658
2023-11-12,BID.VN,31535.3531,30869.6553,29471.4636,32267.8451
2023-11-13,BID.VN,32378.7390,31527.8969,30099.8151,32955.9769
2023-11-14,BID.VN,32085.3880,32388.3088,30922.0322,33854.5796
2023-11-15,BID.VN,31462.0161,32114.3047,30661.3126,33567.2950
2023-11-16,BID.VN,31645.3620,31479.7258,30054.9651,32904.4865
2023-11-19,BID.VN,32232.0633,31662.1222,30229.0587,33095.1857
2023-11-20,BID.VN,31975.3832,32244.7596,30785.1291,33704.3921
2023-11-21,BID.VN,31535.3529,32003.8071,30555.7985,33451.8157
2023-11-22,BID.VN,32012.0525,31563.3679,30135.2842,32991.4497
2023-11-23,BID.VN,31535.3527,32039.0919,30589.4209,33488.7572
2023-11-26,BID.VN,32107.4373,31563.0295,30134.9458,32991.1114
2023-11-27,BID.VN,32479.3370,32143.0677,30689.0771,33597.0564
2023-11-28,BID.VN,32107.4381,32514.3393,31043.5091,33985.1696
2023-11-29,BID.VN,32561.9843,32148.8090,30694.8203,33602.7977
2023-11-30,BID.VN,32892.5608,32598.0686,31123.4957,34072.6415
2023-12-03,BID.VN,32768.5930,32925.2292,31435.6860,34414.7723
2023-12-04,BID.VN,33057.8529,32805.1960,31321.2667,34289.1252
2023-12-05,BID.VN,33553.7189,33088.7987,31591.7724,34585.8270
2023-12-06,BID.VN,34628.0959,33582.8701,32063.3864,35102.3538
2023-12-07,BID.VN,34214.8754,34663.2929,33095.1558,36231.4300
2023-12-10,BID.VN,34628.0994,34266.9563,32717.5321,35816.3805
2023-12-11,BID.VN,34380.1643,34665.8770,33097.7400,36234.0141
2023-12-12,BID.VN,34380.1641,34407.5539,32850.6445,35964.4633
2023-12-13,BID.VN,34297.5191,34407.7301,32850.8208,35964.6395
2023-12-14,BID.VN,33884.2967,34319.1604,32765.9956,35872.3272
2023-12-17,BID.VN,34049.5860,33906.6868,32372.2309,35441.1368
2023-12-18,BID.VN,34132.2318,34074.7803,32532.8412,35616.7194
2023-12-19,BID.VN,34545.4536,34154.3733,32608.6916,35700.0550
2023-12-20,BID.VN,35082.6438,34572.5711,33008.1766,36136.9656
2023-12-21,BID.VN,35702.4808,35112.9026,33524.1813,36701.6238
2023-12-24,BID.VN,35537.1918,35739.1550,34122.3665,37355.9456
2023-12-25,BID.VN,35537.1914,35576.5853,33967.2820,37185.8908
2023-12-26,BID.VN,35289.2582,35564.8760,33955.5727,37174.1815
2023-12-27,BID.VN,35867.7695,35307.5658,33709.4881,36905.6436
2023-12-28,BID.VN,35537.1904,35885.3686,34261.0907,37509.6401
2024-01-01,BID.VN,36198.3479,35558.3902,33949.0847,37167.6956
2024-01-02,BID.VN,36074.3790,36221.3691,34582.1231,37860.6151
2024-01-03,BID.VN,36776.8580,36097.4377,34463.8056,37731.0697
2024-01-04,BID.VN,38347.1104,36799.5561,35134.1099,38465.0000
2024-01-07,BID.VN,38057.8515,38372.9511,36636.3982,40109.5040
2024-01-08,BID.VN,39173.5536,38120.9773,36397.5235,39844.4311
2024-01-09,BID.VN,38429.7547,39205.9868,37432.0082,40979.9654
2024-01-10,BID.VN,38016.5266,38462.1520,36721.8566,40202.4475
2024-01-11,BID.VN,38512.3968,38037.2246,36315.6444,39758.8071
2024-01-14,BID.VN,38760.3327,38518.2382,36774.2025,40262.2763
2024-01-15,BID.VN,38719.0078,38766.8748,37011.6114,40522.1405
2024-01-16,BID.VN,39256.1974,38731.7055,36978.3111,40485.0999
2024-01-17,BID.VN,41198.3464,39264.3185,37486.5997,41042.0396
2024-01-18,BID.VN,41157.0246,41208.1505,39342.4789,43073.8220
2024-01-21,BID.VN,40826.4443,41222.8169,39359.0143,43086.6122
2024-01-22,BID.VN,40413.2219,40856.7855,39007.9532,42705.6105
2024-01-23,BID.VN,39999.9999,40418.4931,38588.3737,42248.6102
2024-01-24,BID.VN,40454.5450,39996.5549,38185.1506,41807.9567
2024-01-25,BID.VN,40247.9340,40448.1715,38616.1830,42280.1599
2024-01-28,BID.VN,40041.3252,40241.4396,38418.8077,42064.0691
2024-01-29,BID.VN,39421.4876,40039.2025,38225.9293,41852.4805
2024-01-30,BID.VN,39049.5866,39412.6651,37627.4612,41197.8738
2024-01-31,BID.VN,38760.3313,39044.4072,37276.0425,40812.7695
2024-02-01,BID.VN,40206.6142,38748.1914,36992.9257,40503.4548
2024-02-04,BID.VN,40330.5795,40193.8423,38373.0816,42014.6007
2024-02-05,BID.VN,40454.5467,40349.6025,38523.2304,42175.9770
