Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2024-05-27,BNB-USD,601.2133,604.5984,572.6809,636.5160
2024-05-28,BNB-USD,594.9720,602.6016,570.8064,634.3968
2024-05-29,BNB-USD,595.0268,596.0094,564.5443,627.4745
2024-05-30,BNB-USD,593.5223,595.4842,564.0162,626.9523
2024-05-31,BNB-USD,601.3042,594.2928,562.9043,625.6812
2024-06-01,BNB-USD,603.0266,602.1705,570.3705,633.9705
2024-06-02,BNB-USD,626.4330,604.7494,572.8583,636.6405
2024-06-03,BNB-USD,686.2014,628.2762,595.1473,661.4052
2024-06-04,BNB-USD,698.8894,690.1443,653.8546,726.4342
2024-06-05,BNB-USD,710.4641,705.7212,668.7604,742.6820
2024-06-06,BNB-USD,683.3610,716.0241,678.4512,753.5971
2024-06-07,BNB-USD,682.6651,687.5723,651.4326,723.7119
2024-06-08,BNB-USD,673.3153,683.9402,647.8374,720.0430
2024-06-09,BNB-USD,624.3869,675.0852,639.4769,710.6936
2024-06-10,BNB-USD,602.5581,626.1193,593.0986,659.1401
2024-06-11,BNB-USD,619.1948,601.7100,569.8436,633.5763
2024-06-12,BNB-USD,599.5151,618.8187,586.0725,651.5648
2024-06-13,BNB-USD,603.1805,602.1950,570.4896,633.9004
2024-06-14,BNB-USD,607.8029,604.6583,572.7591,636.5576
2024-06-15,BNB-USD,610.0540,610.0972,577.9534,642.2408
2024-06-16,BNB-USD,604.4674,612.6620,580.3993,644.9248
2024-06-17,BNB-USD,588.7021,606.8681,574.9009,638.8355
2024-06-18,BNB-USD,598.7718,589.6598,558.5263,620.7934
2024-06-19,BNB-USD,587.1072,597.6687,566.0026,629.3348
2024-06-20,BNB-USD,585.9119,586.9469,555.8977,617.9961
2024-06-21,BNB-USD,590.7634,584.4547,553.4687,615.4406
2024-06-22,BNB-USD,577.2109,589.1037,557.8611,620.3462
2024-06-23,BNB-USD,567.5781,575.9019,545.3760,606.4277
2024-06-24,BNB-USD,578.1035,565.1433,535.1269,595.1597
