Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2023-12-07,BTC-USD,44166.6036,43614.4403,41239.3636,45989.5221
2023-12-08,BTC-USD,43725.9837,44468.6059,42045.5816,46891.6276
2023-12-09,BTC-USD,43779.6996,43980.7005,41581.8489,46379.5495
2023-12-10,BTC-USD,41243.8312,44034.8118,41633.0159,46436.6129
2023-12-11,BTC-USD,41450.2231,41459.8548,39197.1765,43722.5306
2023-12-12,BTC-USD,42890.7408,41645.7529,39371.7519,43919.7515
2023-12-13,BTC-USD,43023.9710,43049.6790,40696.6522,45402.7110
2023-12-14,BTC-USD,41929.7566,43173.3455,40813.0069,45533.6815
2023-12-15,BTC-USD,42240.1195,42107.8214,39807.5151,44408.1327
2023-12-16,BTC-USD,41364.6651,42426.2462,40108.9108,44743.5792
2023-12-17,BTC-USD,42623.5370,41514.9379,39245.6307,43784.2426
2023-12-18,BTC-USD,42270.5281,42763.4173,40425.0444,45101.7851
2023-12-19,BTC-USD,43652.2521,42372.4066,40053.4003,44691.4079
2023-12-20,BTC-USD,43869.1529,43762.2417,41367.4353,46157.0456
2023-12-21,BTC-USD,43997.9001,43943.3239,41536.6179,46350.0273
2023-12-22,BTC-USD,43739.5435,44087.9635,41674.1968,46501.7355
2023-12-23,BTC-USD,43016.1174,43812.9844,41413.3863,46212.5773
2023-12-24,BTC-USD,43613.1405,43073.2012,40713.2936,45433.1062
2023-12-25,BTC-USD,42520.4034,43648.5152,41255.8569,46041.1787
2023-12-26,BTC-USD,43442.8579,42540.3279,40207.6183,44873.0426
2023-12-27,BTC-USD,42627.8560,43473.4311,41090.1148,45856.7525
2023-12-28,BTC-USD,42099.4034,42635.1425,40296.5328,44973.7472
2023-12-29,BTC-USD,42156.9009,42125.1680,39815.5523,44434.7812
2023-12-30,BTC-USD,42265.1867,42169.3304,39856.5602,44482.0981
2023-12-31,BTC-USD,44167.3307,42260.9981,39942.2872,44579.7089
2024-01-01,BTC-USD,44957.9690,44167.4742,41744.4098,46590.5360
2024-01-02,BTC-USD,42848.1763,44980.7516,42514.3121,47447.1884
2024-01-03,BTC-USD,44179.9229,42938.2587,40587.5646,45288.9503
2024-01-04,BTC-USD,44162.6920,44296.9049,41873.1471,46720.6573
2024-01-05,BTC-USD,43989.1964,44216.5746,41793.7648,46639.3818
2024-01-06,BTC-USD,43943.0986,44057.5079,41644.2136,46470.7969
2024-01-07,BTC-USD,46970.5042,44002.7633,41592.0006,46413.5234
2024-01-08,BTC-USD,46139.7299,47024.5373,44447.6881,49601.3838
2024-01-09,BTC-USD,46627.7762,46187.7645,43656.4895,48719.0339
2024-01-10,BTC-USD,46368.5862,46768.0174,44209.9705,49326.0615
2024-01-11,BTC-USD,42853.1672,46481.4257,43937.6010,49025.2559
2024-01-12,BTC-USD,42842.3839,42953.0288,40602.0634,45303.9994
2024-01-13,BTC-USD,41796.2704,42915.9420,40565.5682,45266.3158
2024-01-14,BTC-USD,42511.9663,41803.9775,39510.9919,44096.9605
2024-01-15,BTC-USD,43154.9435,42503.9971,40171.7476,44836.2440
2024-01-16,BTC-USD,42742.6520,43125.9948,40758.4710,45493.5187
2024-01-17,BTC-USD,41262.0590,42722.5921,40377.6870,45067.4946
2024-01-18,BTC-USD,41618.4075,41269.7762,39006.0981,43533.4519
2024-01-19,BTC-USD,41665.5882,41630.6557,39347.4304,43913.8859
