Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2023-02-23,CTG.VN,24655.1196,25293.0591,24057.3012,26528.8185
2023-02-26,CTG.VN,24520.8807,24652.3196,23447.1808,25857.4599
2023-02-27,CTG.VN,25281.5635,24536.1746,23337.5959,25734.7519
2023-02-28,CTG.VN,24878.8503,25320.0627,24084.3033,26555.8221
2023-03-01,CTG.VN,24878.8496,24911.8500,23695.7752,26127.9247
2023-03-02,CTG.VN,25371.0580,24868.1090,23652.0343,26084.1822
2023-03-05,CTG.VN,25952.7582,25367.9278,24127.7941,26608.0631
2023-03-06,CTG.VN,26310.7271,25959.7715,24691.2058,27228.3387
2023-03-07,CTG.VN,26310.7266,26320.4308,25034.3646,27606.4955
2023-03-08,CTG.VN,26131.7416,26306.4484,25020.3837,27592.5131
2023-03-09,CTG.VN,26221.2341,26105.8506,24828.5347,27383.1650
2023-03-12,CTG.VN,25952.7581,26183.7918,24902.1015,27465.4837
2023-03-13,CTG.VN,26400.2186,25926.2794,24657.7122,27194.8451
2023-03-14,CTG.VN,25908.0122,26368.5678,25078.1288,27659.0069
2023-03-15,CTG.VN,25952.7576,25906.0150,24639.6350,27172.3935
2023-03-16,CTG.VN,25057.8346,25917.6508,24649.0836,27186.2196
2023-03-19,CTG.VN,25326.3109,25048.7023,23823.8789,26273.5258
2023-03-20,CTG.VN,25505.2937,25301.1733,24063.2267,26539.1198
2023-03-21,CTG.VN,25684.2782,25527.2289,24280.5351,26773.9242
2023-03-22,CTG.VN,25505.2954,25690.7489,24435.3033,26946.1929
2023-03-23,CTG.VN,25729.0278,25504.2885,24257.5932,26750.9838
2023-03-26,CTG.VN,25863.2668,25706.9608,24449.3295,26964.5906
2023-03-27,CTG.VN,25952.7569,25849.8000,24585.6072,27113.9913
2023-03-28,CTG.VN,25952.7578,25932.4083,24663.8426,27200.9770
2023-03-29,CTG.VN,26131.7409,25923.7131,24655.1459,27192.2803
2023-03-30,CTG.VN,26802.9348,26098.9553,24821.6393,27376.2712
2023-04-02,CTG.VN,26534.4572,26777.4458,25467.3221,28087.5695
2023-04-03,CTG.VN,26847.6788,26527.3415,25230.3409,27824.3405
2023-04-04,CTG.VN,26444.9649,26802.8472,25490.5363,28115.1581
2023-04-05,CTG.VN,26400.2185,26422.3852,25129.7589,27715.0130
2023-04-06,CTG.VN,26265.9802,26352.6464,25062.2074,27643.0855
2023-04-09,CTG.VN,26489.7104,26238.7003,24954.8228,27522.5794
2023-04-10,CTG.VN,26400.2183,26464.5763,25169.7629,27759.3913
2023-04-11,CTG.VN,26310.7264,26386.2989,25095.8599,27676.7379
2023-04-12,CTG.VN,26042.2499,26284.0821,24998.0175,27570.1468
2023-04-13,CTG.VN,26131.7428,26011.4551,24738.5135,27284.3983
2023-04-16,CTG.VN,26042.2503,26097.0130,24819.6970,27374.3305
2023-04-17,CTG.VN,25684.2788,26019.5920,24746.6504,27292.5351
2023-04-18,CTG.VN,25729.0276,25657.4242,24401.9802,26912.8682
2023-04-19,CTG.VN,25594.7879,25695.0941,24437.4627,26952.7238
2023-04-20,CTG.VN,25863.2658,25579.3804,24328.3107,26830.4516
2023-04-23,CTG.VN,25505.2944,25837.5861,24573.3933,27101.7790
2023-04-24,CTG.VN,25415.8033,25490.2537,24243.5584,26736.9490
2023-04-25,CTG.VN,25371.0571,25378.9437,24136.6228,26621.2631
2023-04-26,CTG.VN,25818.5203,25344.1525,24104.0203,26584.2878
2023-04-27,CTG.VN,25281.5653,25798.4091,24536.4035,27060.4148
2023-05-03,CTG.VN,24923.5962,25275.6951,24039.9357,26511.4530
2023-05-04,CTG.VN,24968.3408,24885.7228,23667.4609,26103.9847
2023-05-07,CTG.VN,25057.8350,24942.9377,23722.4886,26163.3868
2023-05-08,CTG.VN,25281.5638,25054.1897,23829.3662,26279.0132
2023-05-09,CTG.VN,25371.0562,25276.7017,24040.9423,26512.4596
2023-05-10,CTG.VN,25415.8036,25367.4137,24127.2799,26607.5459
2023-05-11,CTG.VN,25147.3261,25403.0988,24160.7779,26645.4197
2023-05-14,CTG.VN,25013.0879,25130.0334,23900.8356,26359.2297
2023-05-15,CTG.VN,24610.3730,24987.6115,23764.9752,26210.2477
2023-05-16,CTG.VN,24834.1035,24595.8743,23392.9226,25798.8259
2023-05-17,CTG.VN,25057.8340,24815.7309,23601.8434,26029.6185
2023-05-18,CTG.VN,25013.0883,25061.1318,23836.3083,26285.9552
2023-05-21,CTG.VN,24968.3416,25014.3074,23791.6727,26236.9437
2023-05-22,CTG.VN,24834.1035,24955.9300,23735.4809,26176.3791
2023-05-23,CTG.VN,24699.8646,24816.2712,23602.3837,26030.1573
2023-05-24,CTG.VN,24878.8497,24679.2084,23471.8824,25886.5329
2023-05-25,CTG.VN,25057.8350,24862.0336,23645.9588,26078.1083
2023-05-28,CTG.VN,25102.5811,25052.9202,23828.0967,26277.7436
2023-05-29,CTG.VN,25057.8338,25095.3982,23868.3875,26322.4088
2023-05-30,CTG.VN,25013.0883,25042.4114,23817.5880,26267.2349
2023-05-31,CTG.VN,25639.5327,24991.2820,23768.6458,26213.9183
2023-06-01,CTG.VN,25729.0267,25619.4858,24366.2290,26872.7427
2023-06-04,CTG.VN,25684.2793,25732.1405,24474.5092,26989.7718
2023-06-05,CTG.VN,25863.2663,25673.2032,24417.7592,26928.6488
2023-06-06,CTG.VN,25550.0416,25842.9739,24578.7826,27107.1683
2023-06-07,CTG.VN,25371.0560,25538.6939,24289.8114,26787.5779
2023-06-08,CTG.VN,25415.8036,25341.9038,24101.7701,26582.0376
2023-06-11,CTG.VN,25326.3100,25395.5364,24153.2155,26637.8573
2023-06-12,CTG.VN,25684.2799,25316.8576,24078.9111,26554.8042
2023-06-13,CTG.VN,25952.7567,25671.0860,24415.6420,26926.5300
2023-06-14,CTG.VN,25505.2955,25953.6024,24685.0337,27222.1696
2023-06-15,CTG.VN,25594.7881,25501.8668,24255.1715,26748.5636
2023-06-18,CTG.VN,26131.7413,25559.7296,24308.6599,26810.7992
2023-06-19,CTG.VN,26086.9962,26118.2832,24840.9672,27395.5976
2023-06-20,CTG.VN,26355.4724,26090.0530,24814.9243,27365.1818
2023-06-21,CTG.VN,26176.4880,26340.4202,25052.1683,27628.6721
2023-06-22,CTG.VN,26176.4883,26162.4820,24882.9789,27441.9836
2023-06-25,CTG.VN,26265.9805,26142.1443,24862.6411,27421.6474
2023-06-26,CTG.VN,26847.6790,26239.0729,24955.1954,27522.9489
2023-06-27,CTG.VN,26758.1875,26823.9304,25511.6212,28136.2429
2023-06-28,CTG.VN,26400.2190,26751.7584,25443.8219,28059.6933
2023-06-29,CTG.VN,26176.4878,26371.1296,25080.6906,27661.5687
2023-07-02,CTG.VN,26355.4728,26136.1592,24856.6561,27415.6623
2023-07-03,CTG.VN,26444.9642,26329.9422,25041.6904,27618.1941
2023-07-04,CTG.VN,26265.9809,26432.5173,25139.8910,27725.1451
2023-07-05,CTG.VN,26489.7104,26246.7145,24962.8370,27530.5920
2023-07-06,CTG.VN,26579.2035,26457.1033,25162.2899,27751.9167
2023-07-09,CTG.VN,27116.1573,26562.9298,25263.7420,27862.1175
2023-07-10,CTG.VN,26847.6795,27093.7227,25768.2887,28419.1567
2023-07-11,CTG.VN,26847.6797,26839.4688,25527.1579,28151.7813
2023-07-12,CTG.VN,26758.1875,26808.2688,25495.9579,28120.5797
2023-07-13,CTG.VN,26579.2033,26728.1665,25420.2300,28036.1014
2023-07-16,CTG.VN,26713.4425,26552.0999,25252.9121,27851.2877
2023-07-17,CTG.VN,26758.1867,26687.3923,25381.6430,27993.1416
2023-07-18,CTG.VN,26534.4564,26740.7679,25432.8314,28048.7044
2023-07-19,CTG.VN,26579.2030,26511.1636,25214.1630,27808.1642
2023-07-20,CTG.VN,26713.4425,26545.5680,25246.3803,27844.7574
2023-07-23,CTG.VN,26758.1867,26690.5656,25384.8163,27996.3134
2023-07-24,CTG.VN,26668.6954,26739.1108,25431.1742,28047.0489
2023-07-25,CTG.VN,26265.9805,26642.2670,25338.7048,27945.8291
2023-07-26,CTG.VN,26400.2191,26233.8878,24950.0103,27517.7637
2023-07-27,CTG.VN,26847.6807,26361.6252,25071.1862,27652.0643
2023-07-30,CTG.VN,27205.6484,26830.9315,25518.6206,28143.2424
2023-07-31,CTG.VN,27787.3492,27195.7616,25865.9533,28525.5716
2023-08-01,CTG.VN,27653.1098,27773.9005,26415.6605,29132.1439
2023-08-02,CTG.VN,27742.6030,27647.3454,26295.6653,28999.0239
2023-08-03,CTG.VN,29174.4797,27706.8890,26350.8345,29062.9419
2023-08-06,CTG.VN,29174.4785,29145.4609,27719.4164,30571.5071
2023-08-07,CTG.VN,29084.9860,29201.0599,27775.0171,30627.1043
2023-08-08,CTG.VN,28324.3033,29071.5180,27649.8479,30493.1898
2023-08-09,CTG.VN,28727.0169,28300.4915,26916.0035,29684.9795
2023-08-10,CTG.VN,28906.0005,28688.8307,27284.6580,30093.0033
2023-08-13,CTG.VN,28995.4945,28921.6427,27508.7213,30334.5641
2023-08-14,CTG.VN,28950.7476,29001.7539,27584.4599,30419.0497
2023-08-15,CTG.VN,29174.4789,28947.6523,27532.5438,30362.7609
2023-08-16,CTG.VN,27474.1258,29162.1842,27736.1398,30588.2287
2023-08-17,CTG.VN,28637.5247,27471.2707,26128.3393,28814.2005
2023-08-20,CTG.VN,28234.8112,28591.5339,27191.7356,29991.3322
2023-08-21,CTG.VN,28011.0807,28293.7904,26913.6767,29673.9040
2023-08-22,CTG.VN,28413.7953,28020.5133,26651.3372,29389.6943
2023-08-23,CTG.VN,27876.8392,28425.9414,27037.0773,29814.8037
2023-08-24,CTG.VN,27876.8398,27905.3427,26542.7283,29267.9621
2023-08-27,CTG.VN,27966.3330,27862.7114,26500.0969,29225.3291
2023-08-28,CTG.VN,28727.0178,27963.9586,26596.9681,29330.9475
2023-08-29,CTG.VN,29040.2385,28724.7574,27320.5847,30128.9300
2023-08-30,CTG.VN,29219.2257,29052.1214,27632.6384,30471.6043
2023-09-04,CTG.VN,29219.2246,29216.6766,27788.4450,30644.9100
2023-09-05,CTG.VN,29219.2246,29200.6260,27772.3961,30628.8595
2023-09-06,CTG.VN,28906.0011,29189.4990,27761.2673,30617.7306
2023-09-07,CTG.VN,28548.0335,28876.1280,27463.2067,30289.0477
2023-09-10,CTG.VN,28906.0012,28508.1665,27112.7426,29903.5887
2023-09-11,CTG.VN,29129.7316,28875.0030,27462.0816,30287.9243
2023-09-12,CTG.VN,29711.4306,29127.7340,27703.8767,30551.5930
2023-09-13,CTG.VN,29308.7165,29699.9684,28247.6777,31152.2573
2023-09-14,CTG.VN,28682.2709,29306.9926,27874.3865,30739.5969
2023-09-17,CTG.VN,28727.0185,28641.3130,27239.3275,30043.2984
2023-09-18,CTG.VN,28682.2710,28682.8754,27278.7028,30087.0481
2023-09-19,CTG.VN,28369.0495,28679.7327,27277.7490,30081.7199
2023-09-20,CTG.VN,28324.3035,28363.4958,26976.8206,29750.1710
2023-09-21,CTG.VN,26668.6954,28305.9091,26921.4211,29690.3988
2023-09-24,CTG.VN,27116.1552,26656.5509,25352.9888,27960.1131
2023-09-25,CTG.VN,27742.6014,27084.3307,25758.8967,28409.7663
2023-09-26,CTG.VN,27608.3633,27810.0878,26454.0349,29166.1423
2023-09-27,CTG.VN,26892.4261,27649.3121,26299.8191,28998.8050
2023-09-28,CTG.VN,26802.9335,26893.3042,25578.8077,28207.8022
2023-10-01,CTG.VN,26042.2494,26776.7221,25466.5984,28086.8474
2023-10-02,CTG.VN,25863.2660,26048.1237,24775.1836,27321.0653
2023-10-03,CTG.VN,25147.3262,25856.5475,24592.3546,27120.7403
2023-10-04,CTG.VN,25684.2792,25164.3596,23935.1633,26393.5575
2023-10-05,CTG.VN,26086.9954,25691.9706,24436.5265,26947.4146
2023-10-08,CTG.VN,26221.2343,26120.6007,24845.4704,27395.7295
2023-10-09,CTG.VN,26400.2185,26236.5446,24954.8559,27518.2349
2023-10-10,CTG.VN,26489.7111,26391.2478,25100.8088,27681.6853
2023-10-11,CTG.VN,26221.2347,26473.1624,25178.3490,27767.9742
2023-10-12,CTG.VN,25773.7740,26199.3881,24917.6977,27481.0784
2023-10-15,CTG.VN,25594.7865,25737.6519,24477.8334,26997.4719
2023-10-16,CTG.VN,25371.0564,25565.4901,24314.4204,26816.5598
2023-10-17,CTG.VN,25594.7885,25360.7477,24120.6140,26600.8800
2023-10-18,CTG.VN,26310.7271,25587.7939,24336.7242,26838.8636
