Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2020-07-08,^DJI,25706.0897,26071.6919,25417.7499,26725.6324
2020-07-09,^DJI,26075.3016,25700.0882,25055.2072,26344.9692
2020-07-10,^DJI,26085.8010,26076.9358,25422.7910,26731.0775
2020-07-13,^DJI,26642.5903,26069.9648,25415.5581,26724.3715
2020-07-14,^DJI,26870.0994,26638.4785,25970.1038,27306.8531
2020-07-15,^DJI,26734.7114,26856.6559,26182.5738,27530.7365
2020-07-16,^DJI,26671.9488,26733.9237,26063.2380,27404.6110
2020-07-17,^DJI,26680.8678,26673.9714,26004.8618,27343.0842
2020-07-20,^DJI,26840.3989,26681.6293,26012.2959,27350.9659
2020-07-21,^DJI,27005.8402,26839.9492,26166.6121,27513.2847
2020-07-22,^DJI,26652.3298,27002.3501,26324.8626,27679.8359
2020-07-23,^DJI,26469.8902,26653.4167,25984.7961,27322.0341
2020-07-24,^DJI,26584.7682,26480.5466,25816.5044,27144.5904
2020-07-27,^DJI,26379.2786,26596.7362,25929.8105,27263.6588
2020-07-28,^DJI,26539.5718,26394.7416,25732.9709,27056.5091
2020-07-29,^DJI,26313.6507,26556.9172,25891.1270,27222.7091
2020-07-30,^DJI,26428.3204,26332.1106,25671.9895,26992.2349
2020-07-31,^DJI,26664.4000,26445.8339,25782.8346,27108.8349
2020-08-03,^DJI,26828.4693,26681.3362,26012.4144,27350.2565
2020-08-04,^DJI,27201.5187,26845.8561,26172.8183,27518.8956
2020-08-05,^DJI,27386.9810,27216.7309,26534.3345,27899.1289
2020-08-06,^DJI,27433.4808,27398.6325,26711.5851,28085.6831
2020-08-07,^DJI,27791.4405,27440.0407,26751.8252,28128.2546
2020-08-10,^DJI,27686.9094,27791.6316,27094.4377,28488.8288
2020-08-11,^DJI,27976.8392,27680.3701,26985.7969,28374.9434
2020-08-12,^DJI,27896.7208,27964.3599,27262.5133,28666.2082
2020-08-13,^DJI,27931.0204,27881.0657,27181.2290,28580.9024
2020-08-14,^DJI,27844.9101,27916.5905,27215.8934,28617.2877
2020-08-17,^DJI,27778.0696,27835.7138,27137.1769,28534.2508
2020-08-18,^DJI,27692.8811,27778.4478,27081.5860,28475.3063
2020-08-19,^DJI,27739.7289,27700.1700,27005.4486,28394.8947
2020-08-20,^DJI,27930.3297,27750.8315,27054.9332,28446.7315
2020-08-21,^DJI,28308.4610,27942.5196,27241.8397,28643.1978
2020-08-24,^DJI,28248.4397,28321.3723,27611.2064,29031.5399
2020-08-25,^DJI,28331.9192,28260.3906,27551.7322,28969.0525
2020-08-26,^DJI,28492.2701,28341.3733,27630.6189,29052.1261
2020-08-27,^DJI,28653.8703,28499.8574,27785.0787,29214.6328
2020-08-28,^DJI,28430.0501,28658.9963,27940.1652,29377.8256
2020-08-31,^DJI,28645.6602,28438.4355,27725.2210,29151.6534
2020-09-01,^DJI,29100.5017,28649.9731,27931.3497,29368.5999
2020-09-02,^DJI,28292.7300,29104.5414,28374.5059,29834.5787
2020-09-03,^DJI,28133.3104,28321.4562,27611.6833,29031.2258
2020-09-04,^DJI,27500.8902,28163.3434,27457.5714,28869.1170
2020-09-08,^DJI,27940.4697,27540.1293,26850.2227,28230.0376
2020-09-09,^DJI,27534.5805,27977.6354,27276.6995,28678.5679
2020-09-10,^DJI,27665.6421,27554.5796,26863.8278,28245.3330
2020-09-11,^DJI,27993.3300,27695.3952,27001.3555,28389.4365
2020-09-14,^DJI,27995.5993,28016.7229,27314.4626,28718.9815
2020-09-15,^DJI,28032.3804,28017.3957,27315.0802,28719.7147
2020-09-16,^DJI,27901.9803,28056.5047,27353.2665,28759.7464
2020-09-17,^DJI,27657.4201,27922.2069,27222.2383,28622.1772
2020-09-18,^DJI,27147.6988,27674.7590,26980.9272,28368.5940
2020-09-21,^DJI,27288.1787,27165.2559,26484.2097,27846.3037
2020-09-22,^DJI,26763.1301,27303.3582,26618.7878,27987.9270
2020-09-23,^DJI,26815.4409,26771.7833,26100.3830,27443.1803
2020-09-24,^DJI,27173.9597,26826.6981,26153.9871,27499.4106
2020-09-25,^DJI,27584.0611,27185.4737,26503.7687,27867.1804
2020-09-28,^DJI,27452.6594,27593.4025,26901.4078,28285.3940
