Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2024-05-27,ETH-USD,3840.2564,3913.3556,3699.8508,4126.8600
2024-05-28,ETH-USD,3763.1965,3860.0317,3649.3658,4070.6971
2024-05-29,ETH-USD,3746.8497,3776.4412,3570.0026,3982.8794
2024-05-30,ETH-USD,3760.0265,3754.9493,3549.4074,3960.4908
2024-05-31,ETH-USD,3813.1988,3768.1257,3561.8609,3974.3900
2024-06-01,ETH-USD,3780.8960,3821.7362,3612.5548,4030.9179
2024-06-02,ETH-USD,3766.3892,3791.9566,3584.5473,3999.3662
2024-06-03,ETH-USD,3812.5160,3774.1508,3567.5373,3980.7646
2024-06-04,ETH-USD,3864.2611,3815.3996,3606.2554,4024.5433
2024-06-05,ETH-USD,3811.6060,3869.6520,3657.6695,4081.6348
2024-06-06,ETH-USD,3678.6293,3818.9324,3609.8381,4028.0261
2024-06-07,ETH-USD,3680.9498,3680.8862,3479.0868,3882.6853
2024-06-08,ETH-USD,3705.9038,3677.9863,3476.0597,3879.9131
2024-06-09,ETH-USD,3666.7174,3707.0842,3503.7885,3910.3795
2024-06-10,ETH-USD,3498.3307,3670.2275,3469.0819,3871.3736
2024-06-11,ETH-USD,3559.6178,3500.7560,3308.8472,3692.6644
2024-06-12,ETH-USD,3469.2813,3556.0551,3360.7845,3751.3258
2024-06-13,ETH-USD,3480.2719,3473.7226,3283.4075,3664.0378
2024-06-14,ETH-USD,3565.5495,3481.4872,3290.5690,3672.4049
2024-06-15,ETH-USD,3620.5633,3570.4652,3374.8694,3766.0615
2024-06-16,ETH-USD,3511.3789,3631.7235,3433.1095,3830.3377
2024-06-17,ETH-USD,3483.6815,3523.9927,3331.3683,3716.6173
2024-06-18,ETH-USD,3559.3476,3489.0016,3297.8964,3680.1064
2024-06-19,ETH-USD,3511.0869,3565.6819,3370.4261,3760.9379
2024-06-20,ETH-USD,3516.0757,3522.5105,3329.9023,3715.1191
2024-06-21,ETH-USD,3494.8135,3523.9075,3331.0254,3716.7893
2024-06-22,ETH-USD,3418.6118,3502.5942,3310.8785,3694.3100
2024-06-23,ETH-USD,3350.2564,3425.9612,3238.4258,3613.4969
2024-06-24,ETH-USD,3395.0290,3355.1532,3171.3673,3538.9386
2024-06-25,ETH-USD,3369.4773,3398.6460,3212.4043,3584.8876
2024-06-26,ETH-USD,3444.8006,3376.2941,3191.4540,3561.1340
2024-06-27,ETH-USD,3373.6359,3450.2162,3261.2441,3639.1885
2024-06-28,ETH-USD,3372.9678,3383.6399,3198.5715,3568.7079
2024-06-29,ETH-USD,3432.8891,3377.3003,3192.2687,3562.3316
2024-06-30,ETH-USD,3440.3417,3438.7657,3250.4471,3627.0846
2024-07-01,ETH-USD,3416.3548,3450.2107,3261.4834,3638.9384
2024-07-02,ETH-USD,3292.9167,3424.4914,3237.0798,3611.9032
2024-07-03,ETH-USD,3054.5220,3299.3510,3118.7110,3479.9913
2024-07-04,ETH-USD,2981.5985,3056.0979,2888.5354,3223.6606
2024-07-05,ETH-USD,3069.3781,2976.4216,2812.8594,3139.9837
2024-07-06,ETH-USD,2929.3872,3067.5254,2899.1479,3235.9030
2024-07-07,ETH-USD,3018.7319,2936.6448,2775.9471,3097.3430
2024-07-08,ETH-USD,3064.0330,3019.3775,2853.7782,3184.9765
2024-07-09,ETH-USD,3102.2188,3072.0461,2903.9616,3240.1301
2024-07-10,ETH-USD,3100.3309,3112.5928,2942.4137,3282.7716
2024-07-11,ETH-USD,3134.1589,3111.7330,2941.6575,3281.8086
2024-07-12,ETH-USD,3177.1987,3144.0619,2972.1309,3315.9932
2024-07-13,ETH-USD,3244.0791,3187.9655,3013.6735,3362.2579
2024-07-14,ETH-USD,3489.5528,3256.6333,3078.6723,3434.5946
2024-07-15,ETH-USD,3443.5134,3505.2467,3313.8196,3696.6740
2024-07-16,ETH-USD,3388.7525,3468.2924,3279.3907,3657.1936
2024-07-17,ETH-USD,3426.2587,3404.7303,3218.8330,3590.6279
2024-07-18,ETH-USD,3505.7348,3436.3703,3248.4152,3624.3251
2024-07-19,ETH-USD,3519.2954,3516.5769,3324.2621,3708.8919
2024-07-20,ETH-USD,3536.6053,3531.1871,3338.1284,3724.2459
