Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2022-10-05,FPT.VN,53936.3416,55758.2658,53640.0778,57876.4571
2022-10-06,FPT.VN,53936.3398,53896.9321,51847.9659,55945.9016
2022-10-09,FPT.VN,51749.7263,53864.5457,51815.5795,55913.5151
2022-10-10,FPT.VN,52770.1426,51706.9627,49741.0629,53672.8656
2022-10-11,FPT.VN,53207.4695,52700.7008,50696.0369,54705.3648
2022-10-12,FPT.VN,53936.3417,53176.3540,51155.0766,55197.6314
2022-10-13,FPT.VN,53790.5622,53943.1939,51894.2277,55992.1633
2022-10-16,FPT.VN,54592.3224,53801.7841,51758.3558,55845.2156
2022-10-17,FPT.VN,55029.6455,54581.2178,52507.3318,56655.1071
2022-10-18,FPT.VN,56706.0377,55019.8733,52929.3740,57110.3727
2022-10-19,FPT.VN,53863.4459,56702.1082,54547.9250,58856.2914
2022-10-20,FPT.VN,51822.6162,53883.3826,51837.1823,55929.5764
2022-10-23,FPT.VN,53353.2443,51752.8088,49784.1399,53721.4807
2022-10-24,FPT.VN,53790.5633,53270.4037,51243.5886,55297.2189
2022-10-25,FPT.VN,55248.2978,53766.9940,51723.5656,55810.4223
2022-10-26,FPT.VN,54665.2061,55281.1128,53182.3070,57379.9218
2022-10-27,FPT.VN,55102.5296,54722.9311,52646.2730,56799.5827
2022-10-30,FPT.VN,55029.6446,55130.5994,53037.3280,57223.8644
2022-10-31,FPT.VN,53936.3409,55054.3890,52963.8897,57144.8916
2022-11-01,FPT.VN,54009.2271,53957.2750,51908.3056,56006.2380
2022-11-02,FPT.VN,53134.5826,53998.2652,51946.5301,56050.0003
2022-11-03,FPT.VN,52915.9213,53142.8101,51124.3015,55161.3218
2022-11-06,FPT.VN,53426.1311,52914.6823,50904.4804,54924.8843
2022-11-07,FPT.VN,53936.3408,53435.7523,51406.1651,55465.3331
2022-11-08,FPT.VN,53207.4676,53973.2528,51924.2866,56022.2222
2022-11-09,FPT.VN,53061.6916,53263.3554,51242.0780,55284.6360
2022-11-10,FPT.VN,51603.9575,53082.9765,51067.2338,55098.7129
2022-11-13,FPT.VN,48032.4967,51617.0847,49656.7225,53577.4500
2022-11-14,FPT.VN,50510.6513,48014.7887,46190.1013,49839.4761
2022-11-15,FPT.VN,51749.7295,50452.6398,48533.8076,52371.4689
2022-11-16,FPT.VN,52114.1631,51759.2516,49793.3487,53725.1483
2022-11-17,FPT.VN,51093.7466,52242.2967,50262.5524,54222.0441
2022-11-20,FPT.VN,51385.2907,51211.4518,49270.4748,53152.4348
2022-11-21,FPT.VN,51385.2930,51433.3545,49481.2990,53385.4130
2022-11-22,FPT.VN,51385.2930,51426.1691,49474.1106,53378.2216
2022-11-23,FPT.VN,52478.5908,51422.6837,49470.6312,53374.7422
2022-11-24,FPT.VN,54154.9906,52505.9760,50512.3875,54499.5676
2022-11-27,FPT.VN,54154.9922,54206.9870,52149.7145,56264.2628
2022-11-28,FPT.VN,54373.6623,54239.3692,52182.0967,56296.6449
2022-11-29,FPT.VN,54446.5485,54450.7941,52385.2180,56516.3768
2022-11-30,FPT.VN,56414.4963,54498.3673,52430.0223,56566.7188
2022-12-01,FPT.VN,57070.4789,56460.2068,54317.0989,58603.3181
2022-12-04,FPT.VN,55394.0746,57149.5177,54981.4866,59317.5487
2022-12-05,FPT.VN,55758.5141,55493.3511,53389.0043,57597.6913
2022-12-06,FPT.VN,56122.9497,55774.1719,53655.9806,57892.3632
2022-12-07,FPT.VN,56851.8189,56158.8765,54026.8441,58290.9123
2022-12-08,FPT.VN,56122.9487,56920.8157,54761.0913,59080.5334
2022-12-11,FPT.VN,56268.7192,56214.3264,54082.2973,58346.3622
2022-12-12,FPT.VN,55612.7339,56332.3351,54194.7651,58469.9085
2022-12-13,FPT.VN,56633.1554,55681.8210,53569.1709,57794.4744
2022-12-14,FPT.VN,56778.9281,56691.7364,54540.3219,58843.1543
2022-12-15,FPT.VN,55831.4031,56877.0837,54720.1282,59034.0324
2022-12-18,FPT.VN,55831.4023,55940.4281,53819.4678,58061.3817
2022-12-19,FPT.VN,56268.7166,55900.8404,53779.8801,58021.8008
2022-12-20,FPT.VN,56268.7188,56347.0049,54209.4383,58484.5783
2022-12-21,FPT.VN,56851.8171,56372.7024,54235.1357,58510.2757
2022-12-22,FPT.VN,55685.6220,56954.7698,54795.0454,59114.4943
2022-12-25,FPT.VN,55758.5090,55798.0729,53682.6507,57913.4886
2022-12-26,FPT.VN,55904.2856,55820.5409,53702.3529,57938.7322
2022-12-27,FPT.VN,55539.8507,55970.9216,53847.1959,58094.6506
2022-12-28,FPT.VN,56050.0555,55619.2225,53509.3411,57729.1072
2022-12-29,FPT.VN,58309.5515,56115.0246,53985.7646,58244.2914
2023-01-02,FPT.VN,58309.5508,58393.9642,56178.8658,60609.0661
2023-01-03,FPT.VN,58746.8685,58431.0063,56215.9044,60646.1012
2023-01-04,FPT.VN,58528.2145,58872.8442,56641.1326,61104.5592
2023-01-05,FPT.VN,58528.2148,58636.5693,56413.1642,60859.9779
2023-01-08,FPT.VN,58601.1047,58611.2145,56387.8094,60834.6231
2023-01-09,FPT.VN,58965.5366,58672.9994,56446.8254,60899.1769
2023-01-10,FPT.VN,58819.7667,59034.3061,56794.2912,61274.3281
2023-01-11,FPT.VN,58309.5510,58895.7952,56661.3180,61130.2795
2023-01-12,FPT.VN,58892.6527,58375.2451,56160.1432,60590.3400
2023-01-15,FPT.VN,59767.2867,58939.0722,56701.8226,61176.3253
2023-01-16,FPT.VN,60787.7123,59837.5540,57567.0746,62108.0263
2023-01-17,FPT.VN,61152.1426,60890.2121,58580.9719,63199.4560
2023-01-18,FPT.VN,61225.0324,61279.7868,58956.7061,63602.8749
2023-01-26,FPT.VN,61006.3764,61353.5668,59027.7133,63679.4238
