Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2023-07-27,GAS.VN,73645.2498,72284.2881,69093.8996,75474.6765
2023-07-30,GAS.VN,72992.8810,73805.7337,70548.0104,77063.4571
2023-07-31,GAS.VN,72775.4123,73128.6860,69899.8204,76357.5516
2023-08-01,GAS.VN,72195.5303,72873.7336,69654.4834,76092.9794
2023-08-02,GAS.VN,72702.9375,72278.3418,69084.7473,75471.9363
2023-08-03,GAS.VN,73137.8495,72783.2273,69567.1832,75999.2671
2023-08-06,GAS.VN,73355.3049,73241.3078,70006.0338,76476.5949
2023-08-07,GAS.VN,73210.3361,73447.4644,70202.5669,76692.3619
2023-08-08,GAS.VN,73935.1862,73289.0392,70050.5545,76527.5239
2023-08-09,GAS.VN,73572.7656,74010.2190,70739.6747,77280.7678
2023-08-10,GAS.VN,72920.3897,73653.5600,70399.0431,76908.0769
2023-08-13,GAS.VN,72775.4123,72985.0302,69759.3713,76210.6891
2023-08-14,GAS.VN,72630.4464,72835.1102,69615.8644,76054.3560
2023-08-15,GAS.VN,72485.4763,72711.7287,69498.8956,75924.5618
2023-08-16,GAS.VN,70745.8302,72573.5105,69367.0901,75779.9308
2023-08-17,GAS.VN,71833.1080,70822.7253,67693.2589,73952.1917
2023-08-20,GAS.VN,72702.9395,71850.9037,68673.3367,75028.4663
2023-08-21,GAS.VN,73862.7028,72762.1322,69546.0924,75978.1720
2023-08-22,GAS.VN,74225.1307,73912.1351,70644.7926,77179.4775
2023-08-23,GAS.VN,73500.2824,74261.8180,70978.4433,77545.1926
2023-08-24,GAS.VN,74805.0182,73514.0199,70262.7094,76765.3305
2023-08-27,GAS.VN,75642.7657,74801.9926,71492.9667,78111.0186
2023-08-28,GAS.VN,75188.4550,75683.5419,72337.4578,79029.6261
2023-08-29,GAS.VN,74658.4210,75231.7721,71905.7891,78557.7685
2023-08-30,GAS.VN,75415.6053,74675.0203,71372.4790,77977.5617
2023-09-04,GAS.VN,76854.2547,75448.7924,72112.7566,78784.8281
2023-09-05,GAS.VN,77914.3171,76937.8862,73538.2067,80337.5611
2023-09-06,GAS.VN,77384.2896,78020.4091,74573.8420,81466.9762
2023-09-07,GAS.VN,76778.5481,77486.2983,74063.1773,80909.4193
2023-09-10,GAS.VN,77762.8849,76872.4263,73476.1005,80268.7521
2023-09-11,GAS.VN,79958.7185,77893.3033,74453.4304,81333.1715
2023-09-12,GAS.VN,80261.5829,80151.2234,76614.2169,83688.2252
2023-09-13,GAS.VN,82987.4595,80455.7192,76905.3199,84006.1184
2023-09-14,GAS.VN,82533.1504,83173.0117,79502.0374,86843.9910
2023-09-17,GAS.VN,83290.3263,82712.4689,79061.5863,86363.3515
2023-09-18,GAS.VN,82533.1490,83461.9506,79777.5739,87146.3273
2023-09-19,GAS.VN,80640.1889,82726.0463,79075.1637,86376.9289
