Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2014-03-18,^GSPC,1860.7700,1872.3678,1826.0909,1918.6446
2014-03-19,^GSPC,1872.0099,1860.7041,1814.7111,1906.6974
2014-03-20,^GSPC,1866.5200,1871.9528,1825.6818,1918.2237
2014-03-21,^GSPC,1857.4400,1866.3195,1820.1844,1912.4549
2014-03-24,^GSPC,1865.6200,1857.3227,1811.4119,1903.2335
2014-03-25,^GSPC,1852.5600,1865.6623,1819.5492,1911.7752
2014-03-26,^GSPC,1849.0401,1852.5134,1806.7231,1898.3036
2014-03-27,^GSPC,1857.6200,1849.2065,1803.5032,1894.9096
2014-03-28,^GSPC,1872.3399,1857.8390,1811.9236,1903.7542
2014-03-31,^GSPC,1885.5199,1872.4614,1826.1823,1918.7404
2014-04-01,^GSPC,1890.8999,1885.6196,1839.0148,1932.2246
2014-04-02,^GSPC,1888.7700,1891.0274,1844.2896,1937.7654
2014-04-03,^GSPC,1865.0899,1888.8846,1842.1993,1935.5698
2014-04-04,^GSPC,1845.0400,1865.2918,1819.1920,1911.3919
2014-04-07,^GSPC,1851.9600,1845.6216,1800.0173,1891.2260
2014-04-08,^GSPC,1872.1801,1852.9541,1807.1788,1898.7296
2014-04-09,^GSPC,1833.0799,1872.7954,1826.5203,1919.0707
2014-04-10,^GSPC,1815.6899,1833.4449,1788.1363,1878.7535
2014-04-11,^GSPC,1830.6101,1816.8730,1771.9941,1861.7518
2014-04-14,^GSPC,1842.9799,1832.1321,1786.8844,1877.3797
2014-04-15,^GSPC,1862.3101,1843.7024,1798.1488,1889.2557
2014-04-16,^GSPC,1864.8500,1862.7816,1816.7504,1908.8127
2014-04-17,^GSPC,1871.8900,1865.1632,1819.0692,1911.2571
2014-04-21,^GSPC,1879.5500,1872.0181,1825.7501,1918.2860
2014-04-22,^GSPC,1875.3900,1879.6325,1833.1752,1926.0897
2014-04-23,^GSPC,1878.6100,1875.3793,1829.0248,1921.7337
2014-04-24,^GSPC,1863.4000,1878.6451,1832.2111,1925.0794
2014-04-25,^GSPC,1869.4301,1863.4262,1817.3682,1909.4845
2014-04-28,^GSPC,1878.3299,1869.8615,1823.6543,1916.0686
2014-04-29,^GSPC,1883.9500,1878.7442,1832.3169,1925.1713
2014-04-30,^GSPC,1883.6800,1884.2956,1837.7295,1930.8616
2014-05-01,^GSPC,1881.1400,1883.9282,1837.3689,1930.4877
2014-05-02,^GSPC,1884.6601,1881.4732,1834.9766,1927.9698
2014-05-05,^GSPC,1867.7200,1885.1772,1838.5936,1931.7608
2014-05-06,^GSPC,1878.2099,1868.1811,1822.0161,1914.3459
2014-05-07,^GSPC,1875.6300,1878.9063,1832.4821,1925.3304
2014-05-08,^GSPC,1878.4799,1876.0674,1829.7068,1922.4277
2014-05-09,^GSPC,1896.6501,1878.8804,1832.4496,1925.3114
2014-05-12,^GSPC,1897.4500,1896.9856,1850.1057,1943.8657
2014-05-13,^GSPC,1888.5300,1897.7259,1850.8262,1944.6256
2014-05-14,^GSPC,1870.8500,1888.6766,1841.9974,1935.3558
2014-05-15,^GSPC,1877.8600,1871.0246,1824.7823,1917.2668
2014-05-16,^GSPC,1885.0799,1878.4042,1831.9886,1924.8196
2014-05-19,^GSPC,1872.8300,1885.4038,1838.8099,1931.9979
2014-05-20,^GSPC,1888.0301,1873.0505,1826.7593,1919.3417
2014-05-21,^GSPC,1892.4900,1888.3897,1841.7229,1935.0568
2014-05-22,^GSPC,1900.5300,1892.6536,1845.8764,1939.4306
2014-05-23,^GSPC,1911.9100,1900.6245,1853.6486,1947.6003
2014-05-27,^GSPC,1909.7800,1912.0058,1864.7486,1959.2628
2014-05-28,^GSPC,1920.0301,1909.8968,1862.6923,1957.1013
2014-05-29,^GSPC,1923.5700,1920.1893,1872.7315,1967.6471
2014-05-30,^GSPC,1924.9699,1923.7639,1876.2187,1971.3095
2014-06-02,^GSPC,1924.2400,1925.2295,1877.6495,1972.8094
2014-06-03,^GSPC,1927.8799,1924.5325,1876.9704,1972.0943
2014-06-04,^GSPC,1940.4600,1928.2429,1880.5911,1975.8949
2014-06-05,^GSPC,1949.4398,1940.9379,1892.9749,1988.9006
2014-06-06,^GSPC,1951.2700,1950.0325,1901.8477,1998.2173
