Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2022-12-05,HPG.VN,13825.7579,14109.1078,13429.2640,14788.9516
2022-12-06,HPG.VN,14318.1815,13844.2716,13177.2205,14511.3226
2022-12-07,HPG.VN,14545.4535,14369.0580,13678.2482,15059.8670
2022-12-08,HPG.VN,14090.9095,14653.3320,13951.5578,15355.1080
2022-12-11,HPG.VN,14393.9392,14253.8298,13573.9860,14933.6736
2022-12-12,HPG.VN,14545.4544,14577.3065,13882.8424,15271.7723
2022-12-13,HPG.VN,14659.0905,14738.4240,14036.6498,15440.2000
2022-12-14,HPG.VN,15454.5457,14866.0175,14158.7607,15573.2761
2022-12-15,HPG.VN,15151.5156,15685.5109,14939.8748,16431.1460
2022-12-18,HPG.VN,14393.9397,15345.6227,14614.6078,16076.6375
2022-12-19,HPG.VN,14318.1820,14583.3670,13888.9029,15277.8311
2022-12-20,HPG.VN,14318.1816,14499.8496,13809.0406,15190.6603
2022-12-21,HPG.VN,13901.5157,14524.3652,13833.5562,15215.1743
2022-12-22,HPG.VN,12954.5460,14062.5514,13391.8452,14733.2575
2022-12-25,HPG.VN,13825.7578,13020.1185,12395.1000,13645.1362
2022-12-26,HPG.VN,13787.8790,13931.9091,13264.8572,14598.9602
2022-12-27,HPG.VN,13636.3629,13936.4741,13271.2498,14601.6976
2022-12-28,HPG.VN,13636.3633,13707.8807,13049.9666,14365.7941
2022-12-29,HPG.VN,14583.3326,13695.3329,13037.4187,14353.2462
2023-01-02,HPG.VN,14696.9698,14650.3788,13946.7762,15353.9806
2023-01-03,HPG.VN,15000.0000,14766.1445,14057.0601,15475.2289
2023-01-04,HPG.VN,14696.9694,15035.4534,14311.7478,15759.1581
2023-01-05,HPG.VN,14848.4840,14725.0633,14015.9780,15434.1477
2023-01-08,HPG.VN,14999.9994,14859.7934,14143.3989,15576.1897
2023-01-09,HPG.VN,15303.0306,15013.0695,14289.3648,15736.7742
2023-01-10,HPG.VN,15189.3933,15324.4015,14586.0765,16062.7265
2023-01-11,HPG.VN,15113.6368,15212.4675,14479.6243,15945.3099
2023-01-12,HPG.VN,15340.9086,15123.0541,14393.8659,15852.2415
2023-01-15,HPG.VN,16401.5150,15352.0263,14611.8729,16092.1789
2023-01-16,HPG.VN,16439.3940,16426.9842,15635.6606,17218.3098
2023-01-17,HPG.VN,16022.7278,16492.0093,15698.8582,17285.1624
2023-01-18,HPG.VN,16287.8780,16043.7458,15270.6967,16816.7940
2023-01-26,HPG.VN,16477.2729,16305.1112,15519.2693,17090.9522
2023-01-29,HPG.VN,16742.4248,16523.9714,15728.9927,17318.9501
2023-01-30,HPG.VN,15984.8481,16783.8438,15976.0724,17591.6151
2023-01-31,HPG.VN,16136.3640,16010.3048,15239.0832,16781.5254
2023-02-01,HPG.VN,15984.8487,16156.5727,15378.0409,16935.1035
2023-02-02,HPG.VN,16022.7270,16027.7462,15256.5246,16798.9669
2023-02-05,HPG.VN,14962.1211,16061.6220,15288.5738,16834.6722
2023-02-06,HPG.VN,15795.4533,15000.7009,14278.8237,15722.5780
2023-02-07,HPG.VN,15606.0608,15846.3262,15084.2423,16608.4091
2023-02-08,HPG.VN,15530.3028,15685.0024,14932.0561,16437.9477
2023-02-09,HPG.VN,15303.0302,15584.6845,14835.3933,16333.9747
2023-02-12,HPG.VN,15606.0605,15364.1212,14625.7953,16102.4462
2023-02-13,HPG.VN,15757.5761,15649.9080,14896.9618,16402.8533
2023-02-14,HPG.VN,16136.3636,15780.5402,15020.2848,16540.7957
2023-02-15,HPG.VN,15909.0904,16170.3630,15391.8312,16948.8938
2023-02-16,HPG.VN,16590.9075,15945.5702,15178.0046,16713.1377
2023-02-19,HPG.VN,16363.6364,16604.4264,15803.9652,17404.8896
2023-02-20,HPG.VN,16060.6066,16381.1072,15591.6111,17170.6052
2023-02-21,HPG.VN,16287.8797,16068.8908,15294.0151,16843.7666
2023-02-22,HPG.VN,15757.5758,16294.0359,15508.1950,17079.8769
2023-02-23,HPG.VN,15227.2720,15763.5102,15003.2547,16523.7657
2023-02-26,HPG.VN,15151.5156,15222.1299,14487.4600,15956.7998
2023-02-27,HPG.VN,15833.3332,15178.5003,14447.4854,15909.5169
2023-02-28,HPG.VN,15606.0606,15874.9067,15110.9962,16638.8190
2023-03-01,HPG.VN,15416.6666,15634.2473,14881.3011,16387.1926
2023-03-02,HPG.VN,15454.5461,15417.0456,14673.2370,16160.8532
2023-03-05,HPG.VN,15984.8482,15464.6179,14718.9827,16210.2549
2023-03-06,HPG.VN,16060.6073,15998.9820,15227.7614,16770.2027
2023-03-07,HPG.VN,16060.6064,16082.7619,15307.8861,16857.6396
2023-03-08,HPG.VN,16136.3642,16067.3247,15292.4489,16842.2004
2023-03-09,HPG.VN,15984.8487,16142.1803,15363.6495,16920.7130
2023-03-12,HPG.VN,15378.7880,15983.9235,15212.7019,16755.1451
2023-03-13,HPG.VN,16136.3640,15364.1052,14622.1252,16106.0853
2023-03-14,HPG.VN,15795.4544,16133.4154,15354.8846,16911.9471
2023-03-15,HPG.VN,15454.5461,15811.1204,15049.0365,16573.2033
2023-03-16,HPG.VN,15151.5156,15440.8077,14695.1725,16186.4428
2023-03-19,HPG.VN,15492.4235,15153.1358,14422.1209,15884.1507
2023-03-20,HPG.VN,15378.7877,15510.5986,14763.1359,16258.0612
2023-03-21,HPG.VN,15454.5453,15398.7068,14656.7258,16140.6869
2023-03-22,HPG.VN,15454.5459,15453.0591,14707.4240,16198.6943
2023-03-23,HPG.VN,15757.5753,15460.0747,14714.4396,16205.7117
