Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2021-10-22,NQ=F,15495.7504,15355.3030,14882.1320,15828.4749
2021-10-25,NQ=F,15544.9992,15524.1383,15046.1943,16002.0833
2021-10-26,NQ=F,15587.2509,15560.1028,15080.6379,16039.5650
2021-10-27,NQ=F,15764.7493,15606.0656,15125.2994,16086.8327
2021-10-28,NQ=F,15838.4996,15785.2025,15298.9606,16271.4444
2021-10-29,NQ=F,15894.2498,15851.5392,15363.0235,16340.0558
2021-11-01,NQ=F,15961.2500,15912.1174,15421.8822,16402.3536
2021-11-02,NQ=F,16129.7500,15980.5380,15488.2353,16472.8387
2021-11-03,NQ=F,16330.7497,16149.3396,15651.8408,16646.8395
2021-11-04,NQ=F,16351.7499,16347.5994,15843.9010,16851.2987
2021-11-05,NQ=F,16327.7505,16366.1065,15861.7594,16870.4535
2021-11-08,NQ=F,16212.7497,16352.0608,15848.4539,16855.6676
2021-11-09,NQ=F,15980.5001,16240.3878,15740.3279,16740.4476
2021-11-10,NQ=F,16022.7496,16013.1654,15520.2700,16506.0618
2021-11-11,NQ=F,16192.7492,16062.9663,15568.7677,16557.1659
2021-11-12,NQ=F,16187.7505,16223.6912,15724.2492,16723.1342
2021-11-15,NQ=F,16300.7492,16209.2800,15709.9913,16708.5687
2021-11-16,NQ=F,16311.4998,16331.0134,15828.2403,16833.7875
2021-11-17,NQ=F,16481.2494,16335.1916,15832.0859,16838.2972
2021-11-18,NQ=F,16575.0005,16510.5479,16002.2075,17018.8892
2021-11-19,NQ=F,16381.9996,16594.6918,16083.4598,17105.9247
2021-11-22,NQ=F,16311.9998,16404.1867,15898.9076,16909.4669
2021-11-23,NQ=F,16365.9999,16350.5583,15847.4382,16853.6794
2021-11-24,NQ=F,16050.9998,16401.7712,15896.9856,16906.5578
2021-11-26,NQ=F,16390.7502,16080.8648,15585.7949,16575.9357
2021-11-29,NQ=F,16150.4997,16439.6510,15934.1020,16945.2010
2021-11-30,NQ=F,15869.7504,16165.1630,15667.0232,16663.3009
2021-12-01,NQ=F,15988.4996,15913.6705,15424.1901,16403.1510
2021-12-02,NQ=F,15717.7501,16037.4455,15544.3033,16530.5887
2021-12-03,NQ=F,15842.7503,15745.3159,15260.5246,16230.1081
2021-12-06,NQ=F,16317.9999,15891.8197,15403.1710,16380.4655
2021-12-07,NQ=F,16392.2505,16345.3484,15842.0423,16848.6545
2021-12-08,NQ=F,16148.7505,16379.4633,15873.8670,16885.0586
2021-12-09,NQ=F,16329.7500,16160.8049,15662.7190,16658.8907
2021-12-10,NQ=F,16081.9998,16365.4361,15861.7676,16869.1027
2021-12-13,NQ=F,15924.7498,16085.6119,15589.5858,16581.6389
2021-12-14,NQ=F,16288.0009,15956.3181,15465.1422,16447.4950
2021-12-15,NQ=F,15870.4998,16318.2844,15815.9046,16820.6652
2021-12-16,NQ=F,15717.3205,15859.1712,15369.6676,16348.6748
2021-12-17,NQ=F,15621.2498,15758.9004,15274.1223,16243.6794
2021-12-20,NQ=F,15980.0006,15652.5144,15170.6986,16134.3284
2021-12-21,NQ=F,16169.7497,16008.2621,15515.3811,16501.1430
2021-12-22,NQ=F,16299.0003,16157.9387,15659.2061,16656.6713
2021-12-23,NQ=F,16560.0002,16292.2306,15789.5105,16794.9507
2021-12-27,NQ=F,16488.0004,16556.5443,16045.7741,17067.3136
2021-12-28,NQ=F,16490.5001,16471.2950,15962.7465,16979.8446
2021-12-29,NQ=F,16430.2496,16502.2949,15993.6683,17010.9196
2021-12-30,NQ=F,16320.7504,16437.9788,15931.2105,16944.7471
2021-12-31,NQ=F,16485.5002,16333.6006,15830.2097,16836.9915
2022-01-03,NQ=F,16275.7496,16504.0694,15995.5980,17012.5418
2022-01-04,NQ=F,15766.5003,16278.0084,15776.0045,16780.0095
2022-01-05,NQ=F,15758.9998,15792.6459,15306.3500,16278.9418
2022-01-06,NQ=F,15580.9999,15803.1964,15317.1309,16289.2591
2022-01-07,NQ=F,15607.9992,15609.7711,15129.1958,16090.3436
2022-01-10,NQ=F,15831.0007,15644.3304,15162.9224,16125.7357
2022-01-11,NQ=F,15887.2500,15857.0321,15368.7477,16345.3173
2022-01-12,NQ=F,15490.2500,15896.8976,15406.8773,16386.9159
2022-01-13,NQ=F,15595.7508,15508.9688,15031.1944,15986.7441
2022-01-14,NQ=F,15205.9998,15643.2162,15162.1869,16124.2436
2022-01-18,NQ=F,15033.5002,15228.7928,14759.7848,15697.8009
2022-01-19,NQ=F,14840.9998,15081.3302,14617.6427,15545.0177
2022-01-20,NQ=F,14426.5003,14883.0889,14425.3397,15340.8390
2022-01-21,NQ=F,14501.0006,14470.0017,14025.0362,14914.9671
2022-01-24,NQ=F,14140.7503,14556.8200,14109.5567,15004.0832
2022-01-25,NQ=F,14158.5005,14174.3007,13738.1496,14610.4525
2022-01-26,NQ=F,13986.7503,14213.4387,13776.7402,14650.1380
