Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2021-11-11,^NYA,17297.6603,17231.8444,16783.1331,17680.5567
2021-11-12,^NYA,17285.5508,17309.4200,16858.6948,17760.1452
2021-11-15,^NYA,17302.7897,17295.6807,16845.2710,17746.0904
2021-11-16,^NYA,17192.6599,17311.9555,16861.0966,17762.8144
2021-11-17,^NYA,17117.7398,17201.2723,16753.2841,17649.2615
2021-11-18,^NYA,16973.9610,17127.6106,16681.5735,17573.6476
2021-11-19,^NYA,16945.7793,16985.9479,16543.6573,17428.2385
2021-11-22,^NYA,17007.9012,16960.7098,16519.1546,17402.2661
2021-11-23,^NYA,17036.8105,17024.4265,16581.2516,17467.6015
2021-11-24,^NYA,16624.8687,17051.1856,16607.2563,17495.1118
2021-11-26,^NYA,16683.9814,16637.0693,16203.8760,17070.2636
2021-11-29,^NYA,16318.9693,16700.4445,16265.7099,17135.1790
2021-11-30,^NYA,16133.8899,16338.9487,15913.7262,16764.1722
2021-12-01,^NYA,16475.2502,16161.0737,15740.6729,16581.4745
2021-12-02,^NYA,16347.8697,16512.1202,16082.8246,16941.4159
2021-12-03,^NYA,16591.9713,16368.0774,15942.1009,16794.0539
2021-12-06,^NYA,16853.5700,16616.9538,16184.6177,17049.2908
2021-12-07,^NYA,16899.9203,16868.1122,16428.9596,17307.2658
2021-12-08,^NYA,16780.4706,16908.8749,16468.5136,17349.2362
2021-12-09,^NYA,16856.6315,16790.6607,16353.4129,17227.9095
2021-12-10,^NYA,16719.5701,16868.6254,16429.3931,17307.8587
2021-12-13,^NYA,16652.5803,16730.7199,16295.0579,17166.3818
2021-12-14,^NYA,16813.5711,16666.8969,16232.9816,17100.8133
2021-12-15,^NYA,16849.0891,16830.9800,16392.8687,17269.0912
2021-12-16,^NYA,16668.6411,16863.7403,16424.7045,17302.7772
2021-12-17,^NYA,16442.3109,16681.8267,16247.4919,17116.1616
2021-12-20,^NYA,16744.2701,16458.2264,16029.7890,16886.6637
2021-12-21,^NYA,16874.8805,16764.8790,16328.5735,17201.1845
2021-12-22,^NYA,16963.4394,16886.6168,16446.9089,17326.3256
2021-12-23,^NYA,17141.0897,16972.9276,16530.9122,17414.9440
2021-12-27,^NYA,17134.1597,17148.2335,16701.5890,17594.8790
2021-12-28,^NYA,17149.9307,17139.0030,16692.5381,17585.4679
2021-12-29,^NYA,17164.2407,17155.4026,16708.5268,17602.2784
2021-12-30,^NYA,17164.1308,17169.5950,16722.3463,17616.8437
2021-12-31,^NYA,17226.0998,17169.1950,16721.9502,17616.4409
2022-01-03,^NYA,17336.7592,17231.6277,16782.7671,17680.4882
2022-01-04,^NYA,17112.6000,17342.0567,16890.3117,17793.7987
2022-01-05,^NYA,17156.5204,17117.0202,16671.1161,17562.9213
2022-01-06,^NYA,17166.2793,17163.8455,16716.7980,17610.8930
2022-01-07,^NYA,17119.5604,17176.1019,16728.8001,17623.4037
2022-01-10,^NYA,17294.5397,17129.5075,16683.4240,17575.5919
2022-01-11,^NYA,17353.7605,17304.3856,16853.7417,17755.0274
2022-01-12,^NYA,17259.0192,17361.2175,16909.0316,17813.4045
2022-01-13,^NYA,17219.0610,17265.5992,16815.8809,17715.3176
2022-01-14,^NYA,16950.9097,17226.1895,16777.5113,17674.8646
2022-01-18,^NYA,16818.9803,16958.6030,16516.9140,17400.2929
2022-01-19,^NYA,16663.7691,16829.6470,16391.3957,17267.8992
2022-01-20,^NYA,16397.3394,16680.2096,16246.0017,17114.4175
2022-01-21,^NYA,16413.9706,16418.4058,15991.1412,16845.6714
2022-01-24,^NYA,16340.3206,16441.8576,16014.1586,16869.5565
2022-01-25,^NYA,16236.5099,16367.6301,15941.8493,16793.4080
2022-01-26,^NYA,16152.1201,16262.2680,15839.1932,16685.3428
2022-01-27,^NYA,16397.8599,16177.4056,15756.5306,16598.2814
2022-01-28,^NYA,16659.7702,16422.8336,15995.5555,16850.1127
