Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2019-11-07,^RUT,1598.8600,1593.7144,1561.2965,1626.1324
2019-11-08,^RUT,1594.7700,1598.5682,1566.0512,1631.0851
2019-11-11,^RUT,1595.1200,1594.4985,1562.0648,1626.9323
2019-11-12,^RUT,1589.1801,1594.8513,1562.4104,1627.2922
2019-11-13,^RUT,1588.7901,1588.8463,1556.5261,1621.1663
2019-11-14,^RUT,1596.4499,1588.5036,1556.1913,1620.8158
2019-11-15,^RUT,1592.3400,1596.1040,1563.6359,1628.5719
2019-11-18,^RUT,1598.2901,1591.7939,1559.4096,1624.1784
2019-11-19,^RUT,1591.6100,1597.6923,1565.1869,1630.1977
2019-11-20,^RUT,1583.9600,1590.8177,1558.4483,1623.1873
2019-11-21,^RUT,1588.9400,1583.2210,1551.0071,1615.4350
2019-11-22,^RUT,1621.9001,1588.1974,1555.8822,1620.5126
2019-11-25,^RUT,1624.2300,1621.0065,1588.0209,1653.9921
2019-11-26,^RUT,1634.0999,1623.1071,1590.0741,1656.1401
2019-11-27,^RUT,1624.5000,1633.1627,1599.9291,1666.3964
2019-11-29,^RUT,1607.5799,1623.3751,1590.3366,1656.4135
2019-12-02,^RUT,1602.6300,1606.6183,1573.9240,1639.3126
2019-12-03,^RUT,1613.8999,1601.9440,1569.3502,1634.5376
2019-12-04,^RUT,1614.8300,1613.3709,1580.5480,1646.1938
2019-12-05,^RUT,1633.8400,1614.2309,1581.3891,1647.0726
2019-12-06,^RUT,1629.6200,1633.2001,1599.9718,1666.4285
2019-12-09,^RUT,1631.7099,1628.7222,1595.5797,1661.8648
2019-12-10,^RUT,1631.9300,1630.9075,1597.7225,1664.0926
2019-12-11,^RUT,1644.8100,1631.0348,1597.8453,1664.2243
2019-12-12,^RUT,1637.9800,1643.9500,1610.4985,1677.4015
2019-12-13,^RUT,1649.9400,1637.0698,1603.7571,1670.3824
2019-12-16,^RUT,1657.5600,1649.2563,1615.7004,1682.8120
2019-12-17,^RUT,1661.7299,1656.6941,1622.9833,1690.4050
2019-12-18,^RUT,1667.0900,1660.8084,1627.0129,1694.6042
2019-12-19,^RUT,1671.9001,1666.1129,1632.2083,1700.0176
2019-12-20,^RUT,1674.1400,1670.9024,1636.8999,1704.9049
2019-12-23,^RUT,1678.0099,1673.1559,1639.1079,1707.2039
2019-12-24,^RUT,1677.6701,1677.1347,1643.0079,1711.2613
2019-12-26,^RUT,1669.0300,1676.8767,1642.7569,1710.9964
2019-12-27,^RUT,1664.1500,1668.3859,1634.4417,1702.3300
2019-12-30,^RUT,1668.4700,1663.7374,1629.8926,1697.5822
2019-12-31,^RUT,1666.7700,1668.1878,1634.2551,1702.1206
2020-01-02,^RUT,1660.8700,1666.5026,1632.6045,1700.4006
2020-01-03,^RUT,1663.2599,1660.6325,1626.8543,1694.4107
2020-01-06,^RUT,1658.3100,1663.0428,1629.2160,1696.8696
2020-01-07,^RUT,1663.5901,1658.0097,1624.2836,1691.7358
2020-01-08,^RUT,1664.9901,1663.3234,1629.4900,1697.1568
2020-01-09,^RUT,1657.6400,1664.5593,1630.6974,1698.4212
2020-01-10,^RUT,1669.6100,1657.0945,1623.3821,1690.8070
2020-01-13,^RUT,1675.7400,1669.0333,1635.0774,1702.9892
2020-01-14,^RUT,1682.4001,1674.8753,1640.7947,1708.9559
2020-01-15,^RUT,1705.2199,1681.3880,1647.1720,1715.6040
2020-01-16,^RUT,1699.6400,1703.9929,1669.3127,1738.6730
2020-01-17,^RUT,1685.9000,1698.1533,1663.5867,1732.7200
2020-01-21,^RUT,1684.4599,1684.5632,1650.2761,1718.8505
2020-01-22,^RUT,1685.0100,1683.2404,1648.9824,1717.4983
2020-01-23,^RUT,1662.2300,1683.8907,1649.6215,1718.1598
2020-01-24,^RUT,1644.1400,1661.1895,1627.3837,1694.9952
2020-01-27,^RUT,1658.3100,1643.5347,1610.0967,1676.9726
2020-01-28,^RUT,1649.2200,1658.0381,1624.3120,1691.7643
2020-01-29,^RUT,1648.2200,1648.9134,1615.3722,1682.4546
2020-01-30,^RUT,1614.0601,1648.0022,1614.4814,1681.5231
2020-01-31,^RUT,1632.2100,1613.7477,1580.9216,1646.5739
2020-02-03,^RUT,1656.7699,1632.5100,1599.3147,1665.7052
2020-02-04,^RUT,1681.9200,1657.1344,1623.4397,1690.8293
2020-02-05,^RUT,1677.4600,1682.0345,1647.8282,1716.2407
2020-02-06,^RUT,1656.7800,1677.2153,1643.0998,1711.3309
2020-02-07,^RUT,1667.6700,1656.4330,1622.7381,1690.1279
2020-02-10,^RUT,1677.5099,1667.3519,1633.4354,1701.2683
2020-02-11,^RUT,1689.3799,1677.0959,1642.9793,1711.2124
2020-02-12,^RUT,1693.7399,1688.8533,1654.4954,1723.2113
2020-02-13,^RUT,1687.5799,1692.9757,1658.5290,1727.4223
2020-02-14,^RUT,1683.5200,1686.6507,1652.3294,1720.9720
2020-02-18,^RUT,1692.5700,1682.5713,1648.3324,1716.8101
2020-02-19,^RUT,1696.0698,1691.6518,1657.2290,1726.0747
2020-02-20,^RUT,1678.6100,1695.0305,1660.5364,1729.5245
2020-02-21,^RUT,1628.1000,1677.5452,1643.4064,1711.6841
2020-02-24,^RUT,1571.9001,1627.1994,1594.0877,1660.3110
2020-02-25,^RUT,1552.7600,1572.1127,1540.1441,1604.0814
2020-02-26,^RUT,1497.8700,1554.1375,1522.5582,1585.7171
2020-02-27,^RUT,1476.4300,1500.1656,1469.7024,1530.6286
2020-02-28,^RUT,1518.4899,1479.2630,1449.2360,1509.2900
2020-03-02,^RUT,1486.0800,1522.1160,1491.2335,1552.9984
2020-03-03,^RUT,1531.2000,1490.1836,1459.9603,1520.4070
2020-03-04,^RUT,1478.8199,1534.9435,1503.8026,1566.0846
2020-03-05,^RUT,1449.2200,1481.7555,1451.6798,1511.8311
2020-03-06,^RUT,1313.4399,1452.6399,1423.1662,1482.1136
