Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2024-10-07,SOL-USD,143.3944,144.4174,131.9404,156.8945
2024-10-08,SOL-USD,139.3155,143.7448,131.3195,156.1701
2024-10-09,SOL-USD,138.8884,139.5783,127.5065,151.6502
2024-10-10,SOL-USD,145.3812,139.1120,127.0771,151.1468
2024-10-11,SOL-USD,146.5003,145.4783,132.8809,158.0758
2024-10-12,SOL-USD,147.5724,146.5988,133.9043,159.2932
2024-10-13,SOL-USD,157.4451,147.5752,134.7879,160.3625
2024-10-14,SOL-USD,154.7206,157.4321,143.7893,171.0749
2024-10-15,SOL-USD,154.2342,155.0314,141.6247,168.4382
2024-10-16,SOL-USD,150.3160,154.2430,140.8784,167.6076
2024-10-17,SOL-USD,154.9759,150.3772,137.3521,163.4022
2024-10-18,SOL-USD,159.6394,155.0606,141.6317,168.4894
2024-10-19,SOL-USD,166.9398,159.7222,145.8893,173.5551
2024-10-20,SOL-USD,166.2169,167.1536,152.6881,181.6192
2024-10-21,SOL-USD,167.2602,166.6727,152.2698,181.0756
2024-10-22,SOL-USD,170.9325,167.5992,153.1059,182.0925
2024-10-23,SOL-USD,177.1569,171.4239,156.6124,186.2354
2024-10-24,SOL-USD,164.7569,177.8244,162.4735,193.1753
2024-10-25,SOL-USD,170.7060,165.5614,151.2850,179.8378
2024-10-26,SOL-USD,176.5492,171.4979,156.7060,186.2898
2024-10-27,SOL-USD,178.1049,177.3128,162.0146,192.6110
2024-10-28,SOL-USD,179.3607,179.0279,163.5949,194.4609
2024-10-29,SOL-USD,174.9250,180.2653,164.7235,195.8072
2024-10-30,SOL-USD,168.4300,175.8463,160.6888,191.0037
2024-10-31,SOL-USD,166.2621,169.3100,154.7153,183.9047
2024-11-01,SOL-USD,166.0103,167.1487,152.7419,181.5555
2024-11-02,SOL-USD,162.5513,166.7628,152.3779,181.1478
2024-11-03,SOL-USD,157.7471,163.1820,149.0967,177.2673
2024-11-04,SOL-USD,166.7224,158.2576,144.5886,171.9266
2024-11-05,SOL-USD,186.9548,167.1845,152.7378,181.6312
2024-11-06,SOL-USD,196.3346,187.4923,171.2924,203.6921
2024-11-07,SOL-USD,199.9390,197.9910,180.9784,215.0036
2024-11-08,SOL-USD,200.1949,201.0708,183.7458,218.3957
2024-11-09,SOL-USD,210.6137,201.1733,183.8261,218.5204
2024-11-10,SOL-USD,222.6417,211.6901,193.4402,229.9400
2024-11-11,SOL-USD,212.2318,224.2227,204.9306,243.5149
2024-11-12,SOL-USD,215.1845,214.0181,195.6280,232.4082
2024-11-13,SOL-USD,209.2191,216.6306,197.9846,235.2766
2024-11-14,SOL-USD,218.0949,210.7576,192.6285,228.8867
2024-11-15,SOL-USD,215.8488,219.7713,200.8731,238.6695
2024-11-16,SOL-USD,237.5755,217.6805,198.9769,236.3840
2024-11-17,SOL-USD,239.7942,239.6613,219.0751,260.2475
2024-11-18,SOL-USD,238.0975,242.8854,222.1069,263.6639
2024-11-19,SOL-USD,235.4237,240.6568,220.0254,261.2882
2024-11-20,SOL-USD,257.0659,237.9421,217.5423,258.3418
2024-11-21,SOL-USD,256.5187,259.6601,237.3850,281.9352
2024-11-22,SOL-USD,255.1785,259.8047,237.5771,282.0324
2024-11-23,SOL-USD,252.9195,257.7642,235.6527,279.8757
2024-11-24,SOL-USD,234.4466,255.4310,233.5152,277.3468
2024-11-25,SOL-USD,230.9782,236.5487,216.2336,256.8637
2024-11-26,SOL-USD,242.3022,232.9970,212.9825,253.0116
2024-11-27,SOL-USD,237.7640,243.9719,222.9762,264.9677
2024-11-28,SOL-USD,243.5495,239.3199,218.7174,259.9224
2024-11-29,SOL-USD,237.7437,245.0206,223.9168,266.1245
2024-11-30,SOL-USD,237.0699,239.1596,218.5588,259.7604
2024-12-01,SOL-USD,225.7562,238.2935,217.7511,258.8359
2024-12-02,SOL-USD,234.2003,226.6391,207.0771,246.2012
2024-12-03,SOL-USD,229.1193,234.9979,214.7041,255.2916
2024-12-04,SOL-USD,233.9987,229.5818,209.7284,249.4353
2024-12-05,SOL-USD,237.0511,234.3426,214.0663,254.6189
2024-12-06,SOL-USD,238.5480,237.1948,216.6540,257.7356
2024-12-07,SOL-USD,236.6723,238.5549,217.8844,259.2254
2024-12-08,SOL-USD,217.3415,236.6035,216.0956,257.1115
2024-12-09,SOL-USD,213.8246,217.2689,198.4360,236.1018
2024-12-10,SOL-USD,227.4468,214.1011,195.5730,232.6293
2024-12-11,SOL-USD,227.0267,227.3310,207.6224,247.0395
2024-12-12,SOL-USD,224.8373,226.8562,207.1840,246.5283
2024-12-13,SOL-USD,219.8408,224.5810,205.0986,244.0634
2024-12-14,SOL-USD,223.6577,219.6313,200.5818,238.6807
2024-12-15,SOL-USD,216.3350,223.4694,204.0892,242.8496
2024-12-16,SOL-USD,222.8167,216.1200,197.3743,234.8657
2024-12-17,SOL-USD,206.3817,222.6628,203.3554,241.9701
2024-12-18,SOL-USD,194.2845,206.2065,188.3233,224.0898
2024-12-19,SOL-USD,194.2082,194.3577,177.5227,211.1927
2024-12-20,SOL-USD,181.3015,194.3082,177.4798,211.1365
