Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2024-06-24,TCB.VN,24000.0000,23990.8619,23181.5200,24800.2024
2024-06-25,TCB.VN,23449.9998,24023.4203,23214.0784,24832.7608
2024-06-26,TCB.VN,23349.9995,23480.0484,22689.2553,24270.8443
2024-06-27,TCB.VN,22650.0003,23344.3773,22556.9550,24131.7981
2024-06-30,TCB.VN,22899.9987,22664.0459,21900.2308,23427.8636
2024-07-01,TCB.VN,23500.0004,22878.9157,22106.6686,23651.1627
2024-07-02,TCB.VN,23500.0000,23538.0517,22745.5724,24330.5337
2024-07-03,TCB.VN,23500.0000,23567.5926,22775.1120,24360.0718
2024-07-04,TCB.VN,23450.0003,23536.0851,22743.6045,24328.5643
2024-07-07,TCB.VN,23349.9995,23469.7835,22678.9904,24260.5765
2024-07-08,TCB.VN,23150.0001,23362.9963,22575.5755,24150.4200
2024-07-09,TCB.VN,22800.0003,23159.2312,22378.5521,23939.9075
2024-07-10,TCB.VN,22800.0000,22804.7266,22035.8517,23573.6000
2024-07-11,TCB.VN,22650.0006,22795.6173,22026.7425,23564.4921
2024-07-14,TCB.VN,22700.0003,22670.8231,21907.0067,23434.6382
2024-07-15,TCB.VN,23699.9995,22718.6203,21953.1191,23484.1242
2024-07-16,TCB.VN,23700.0000,23728.0492,22928.8240,24527.2729
2024-07-17,TCB.VN,23399.9997,23774.3608,22975.1371,24573.5846
2024-07-18,TCB.VN,23650.0003,23437.4295,22648.3225,24226.5392
2024-07-21,TCB.VN,23049.9995,23645.0690,22847.5300,24442.6066
2024-07-22,TCB.VN,23000.0001,23067.8935,22290.5880,23845.1976
2024-07-23,TCB.VN,22750.0001,22976.8097,22201.1904,23752.4277
2024-07-24,TCB.VN,22750.0000,22747.8480,21980.6593,23515.0367
2024-07-25,TCB.VN,22750.0000,22743.6891,21976.5018,23510.8765
2024-07-28,TCB.VN,22950.0000,22760.8806,21993.6933,23528.0706
2024-07-29,TCB.VN,23250.0000,22964.7298,22190.7980,23738.6617
2024-07-30,TCB.VN,23000.0002,23277.8852,22493.8366,24061.9338
2024-07-31,TCB.VN,23499.9999,23033.6996,22258.0817,23809.3176
2024-08-01,TCB.VN,22299.9999,23500.3194,22707.8401,24292.8014
2024-08-04,TCB.VN,22300.0000,22331.1082,21579.0947,23083.1204
2024-08-05,TCB.VN,21799.9997,22251.9713,21499.9578,23003.9835
2024-08-06,TCB.VN,20850.0003,21804.3737,21069.2228,22539.5247
2024-08-07,TCB.VN,21100.0004,20834.5264,20131.4107,21537.6422
2024-08-08,TCB.VN,21250.0009,21048.4297,20336.8833,21759.9762
2024-08-11,TCB.VN,21000.0000,21282.0779,20565.4743,21998.6840
2024-08-12,TCB.VN,21200.0012,21044.7882,20336.6141,21752.9612
2024-08-13,TCB.VN,21149.9999,21219.3207,20504.4033,21934.2381
2024-08-14,TCB.VN,21449.9991,21188.3234,20475.0908,21901.5547
2024-08-15,TCB.VN,21900.0006,21475.9412,20752.5931,22199.2892
2024-08-18,TCB.VN,21850.0002,21939.8521,21201.3289,22678.3779
2024-08-19,TCB.VN,22000.0008,21897.0205,21160.1834,22633.8601
2024-08-20,TCB.VN,22349.9997,22018.0645,21276.1691,22759.9626
2024-08-21,TCB.VN,22399.9988,22369.3883,21615.6873,23123.0866
2024-08-22,TCB.VN,22499.9996,22432.6790,21677.2945,23188.0661
2024-08-25,TCB.VN,23000.0013,22520.4974,21761.7407,23279.2568
2024-08-27,TCB.VN,23000.0000,23018.8226,22243.2032,23794.4405
2024-08-28,TCB.VN,23350.0007,23039.9565,22264.3371,23815.5744
2024-08-29,TCB.VN,22999.9995,23370.7791,22583.3569,24158.1999
2024-09-03,TCB.VN,22799.9998,23028.6053,22252.9860,23804.2233
2024-09-04,TCB.VN,22800.0000,22794.0082,22025.1334,23562.8830
2024-09-05,TCB.VN,22650.0006,22791.9711,22023.0963,23560.8446
2024-09-08,TCB.VN,22250.0005,22660.1577,21896.3427,23423.9755
2024-09-09,TCB.VN,22099.9998,22256.7769,21506.4495,23007.1030
2024-09-10,TCB.VN,22300.0000,22090.2720,21345.0030,22835.5410
2024-09-11,TCB.VN,22200.0002,22305.1413,21553.1278,23057.1535
2024-09-12,TCB.VN,22200.0000,22233.6310,21484.9911,22982.2736
2024-09-15,TCB.VN,22750.0003,22223.7042,21475.0630,22972.3442
2024-09-16,TCB.VN,22999.9986,22775.2163,22008.0290,23542.4063
2024-09-17,TCB.VN,23199.9989,23056.3580,22280.7387,23831.9759
2024-09-18,TCB.VN,23549.9992,23243.7333,22461.3708,24026.0958
2024-09-19,TCB.VN,23349.9995,23584.1433,22789.9766,24378.3087
2024-09-22,TCB.VN,23549.9999,23384.8582,22597.4374,24172.2791
2024-09-23,TCB.VN,23799.9999,23557.6192,22763.4539,24351.7846
2024-09-24,TCB.VN,24100.0007,23826.2638,23023.6664,24628.8598
2024-09-25,TCB.VN,24200.0014,24135.5067,23322.7940,24948.2223
2024-09-26,TCB.VN,24200.0000,24239.4246,23423.3381,25055.5095
2024-09-29,TCB.VN,24649.9985,24227.7524,23411.6645,25043.8374
2024-09-30,TCB.VN,24899.9995,24671.0309,23839.7693,25502.2910
2024-10-01,TCB.VN,24350.0001,24946.2166,24106.5244,25785.9074
2024-10-02,TCB.VN,24049.9997,24389.2800,23568.1352,25210.4233
2024-10-03,TCB.VN,24150.0004,24043.0934,23232.0654,24854.1200
2024-10-06,TCB.VN,24400.0012,24146.2862,23331.8859,24960.6851
2024-10-07,TCB.VN,24650.0004,24433.6770,23610.8461,25256.5065
2024-10-08,TCB.VN,24549.9996,24702.7786,23871.5184,25534.0387
2024-10-09,TCB.VN,24449.9999,24604.3321,23776.4442,25432.2229
2024-10-10,TCB.VN,24350.0007,24481.7990,23657.2820,25306.3146
2024-10-13,TCB.VN,24250.0004,24374.4934,23553.3500,25195.6396
2024-10-14,TCB.VN,24200.0003,24274.5229,23456.7503,25092.2940
2024-10-15,TCB.VN,24350.0014,24226.2927,23410.2077,25042.3805
2024-10-16,TCB.VN,24449.9996,24383.5528,23562.4080,25204.6962
2024-10-17,TCB.VN,24150.0006,24496.9057,23672.3901,25321.4243
2024-10-20,TCB.VN,24200.0008,24195.2852,23380.8863,25009.6869
2024-10-21,TCB.VN,24200.0000,24218.9882,23402.9032,25035.0760
2024-10-22,TCB.VN,23650.0005,24232.7980,23416.7116,25048.8830
2024-10-23,TCB.VN,23500.0006,23683.1606,22885.6230,24480.7010
2024-10-24,TCB.VN,23649.9991,23497.9017,22705.4225,24290.3810
2024-10-27,TCB.VN,23750.0006,23664.4461,22866.9085,24461.9837
2024-10-28,TCB.VN,23900.0009,23791.6671,22990.7558,24592.5769
2024-10-30,TCB.VN,23700.0002,23943.3007,23137.3324,24749.2689
2024-10-31,TCB.VN,23449.9998,23741.0115,22941.7863,24540.2352
2024-11-03,TCB.VN,23899.9988,23467.2647,22676.4717,24258.0606
2024-11-05,TCB.VN,23849.9997,23904.3278,23098.3596,24710.2989
2024-11-06,TCB.VN,23599.9997,23898.5779,23094.2944,24702.8600
2024-11-07,TCB.VN,23199.9994,23626.6367,22830.7838,24422.4882
2024-11-10,TCB.VN,23050.0005,23202.9344,22420.5705,23985.2968
2024-11-11,TCB.VN,23149.9997,23035.6552,22258.3512,23812.9607
2024-11-12,TCB.VN,22800.0003,23150.2401,22369.5638,23930.9192
2024-11-13,TCB.VN,22450.0000,22823.5431,22054.6683,23592.4165
2024-11-14,TCB.VN,22450.0000,22451.6887,21694.6181,23208.7620
2024-11-17,TCB.VN,22399.9996,22443.1448,21686.0742,23200.2167
2024-11-18,TCB.VN,22849.9996,22416.0084,21660.6239,23171.3955
2024-11-19,TCB.VN,23200.0008,22868.1714,22097.6104,23638.7309
2024-11-20,TCB.VN,23499.9990,23246.7257,22464.3633,24029.0910
2024-11-21,TCB.VN,23500.0000,23542.7468,22750.2662,24335.2261
2024-11-24,TCB.VN,23549.9997,23531.3675,22738.8869,24323.8467
2024-11-25,TCB.VN,23500.0006,23560.1599,22765.9932,24354.3252
2024-11-26,TCB.VN,23599.9994,23507.9700,22715.4880,24300.4493
2024-11-27,TCB.VN,23600.0000,23602.8584,22807.0055,24398.7098
2024-11-28,TCB.VN,23649.9987,23614.8938,22819.0409,24410.7453
2024-12-01,TCB.VN,23650.0000,23665.2862,22867.7486,24462.8238
2024-12-02,TCB.VN,23450.0003,23669.0979,22871.5603,24466.6355
2024-12-03,TCB.VN,24199.9990,23468.1845,22677.3900,24258.9775
2024-12-04,TCB.VN,24149.9995,24211.6520,23395.5641,25027.7369
2024-12-05,TCB.VN,24150.0000,24222.2029,23407.8041,25036.6047
2024-12-08,TCB.VN,24049.9998,24198.2389,23383.8386,25012.6378
2024-12-09,TCB.VN,24150.0004,24089.4583,23278.4303,24900.4849
2024-12-10,TCB.VN,24249.9987,24185.9258,23371.5256,25000.3247
2024-12-11,TCB.VN,24349.9994,24301.3815,23483.6104,25119.1555
2024-12-12,TCB.VN,24300.0002,24406.2175,23585.0741,25227.3637
2024-12-15,TCB.VN,24200.0001,24356.1107,23536.6535,25175.5709
2024-12-16,TCB.VN,24200.0000,24247.0550,23430.9686,25063.1400
2024-12-17,TCB.VN,23750.0000,24242.6152,23426.5302,25058.7031
2024-12-18,TCB.VN,23799.9994,23798.7876,22997.8763,24599.6974
2024-12-19,TCB.VN,23899.9993,23824.7601,23022.1641,24627.3589
2024-12-22,TCB.VN,24000.0006,23955.0304,23149.0608,24760.9986
2024-12-23,TCB.VN,24449.9989,24069.0508,23259.7089,24878.3913
2024-12-24,TCB.VN,24350.0007,24522.0156,23697.5000,25346.5341
2024-12-25,TCB.VN,24599.9990,24411.3873,23590.2439,25232.5335
2024-12-26,TCB.VN,24400.0002,24630.7360,23801.1606,25460.3100
2024-12-29,TCB.VN,24650.0004,24437.6765,23614.8470,25260.5089
2024-12-30,TCB.VN,24350.0003,24663.8345,23832.5729,25495.0946
2025-01-01,TCB.VN,23600.0000,24383.8344,23562.6896,25204.9778
2025-01-02,TCB.VN,23600.0000,23606.2991,22810.4462,24402.1505
2025-01-05,TCB.VN,23649.9987,23569.3726,22773.5197,24365.2255
2025-01-06,TCB.VN,23949.9989,23663.6172,22866.0796,24461.1576
2025-01-07,TCB.VN,23950.0000,23980.5920,23172.9362,24788.2463
2025-01-08,TCB.VN,23399.9993,23997.9165,23190.2622,24805.5709
2025-01-09,TCB.VN,23800.0000,23431.2842,22642.1759,24220.3912
2025-01-12,TCB.VN,23600.0000,23788.4144,22985.8170,24591.0118
2025-01-13,TCB.VN,23700.0001,23640.2336,22844.3807,24436.0850
2025-01-14,TCB.VN,23849.9987,23717.5590,22918.3353,24516.7855
2025-01-15,TCB.VN,24400.0000,23880.6149,23076.3328,24684.8999
2025-01-16,TCB.VN,24400.0000,24433.7526,23610.9231,25256.5821
2025-01-19,TCB.VN,24200.0002,24453.0897,23630.2588,25275.9192
2025-01-20,TCB.VN,24200.0000,24225.8340,23409.7475,25041.9189
2025-01-21,TCB.VN,24600.0009,24202.0223,23385.9373,25018.1102
2025-01-22,TCB.VN,24749.9999,24609.7419,23780.1665,25439.3159
2025-01-23,TCB.VN,24249.9995,24791.9433,23957.3109,25626.5786
2025-02-02,TCB.VN,24650.0006,24282.5709,23464.7984,25100.3420
2025-02-03,TCB.VN,24699.9987,24639.8842,23808.6226,25471.1458
2025-02-04,TCB.VN,25200.0004,24738.0425,23905.0948,25570.9888
2025-02-05,TCB.VN,25750.0009,25228.5237,24378.7162,26078.3312
2025-02-06,TCB.VN,25750.0000,25799.0129,24930.6565,26667.3678
2025-02-09,TCB.VN,25900.0010,25801.7204,24933.3624,26670.0752
2025-02-10,TCB.VN,25699.9997,25920.5042,25047.0894,26793.9175
2025-02-11,TCB.VN,25949.9992,25717.4722,24850.8034,26584.1440
2025-02-12,TCB.VN,25999.9999,25951.6767,25076.5773,26826.7792
2025-02-13,TCB.VN,25700.0004,26031.3447,25154.5576,26908.1302
2025-02-16,TCB.VN,25850.0008,25727.9959,24861.3271,26594.6647
2025-02-17,TCB.VN,26100.0008,25857.6669,24985.9382,26729.3941
