Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2024-05-27,USDT-USD,0.9989,0.9991,0.9984,0.9998
2024-05-28,USDT-USD,0.9988,0.9989,0.9982,0.9996
2024-05-29,USDT-USD,0.9997,0.9988,0.9981,0.9995
2024-05-30,USDT-USD,0.9990,0.9997,0.9990,1.0004
2024-05-31,USDT-USD,0.9993,0.9988,0.9981,0.9995
2024-06-01,USDT-USD,0.9994,0.9993,0.9986,1.0000
2024-06-02,USDT-USD,0.9998,0.9993,0.9986,1.0000
2024-06-03,USDT-USD,1.0002,0.9997,0.9990,1.0004
2024-06-04,USDT-USD,1.0001,1.0000,0.9993,1.0007
2024-06-05,USDT-USD,0.9995,0.9999,0.9992,1.0006
2024-06-06,USDT-USD,0.9996,0.9993,0.9986,1.0000
2024-06-07,USDT-USD,0.9999,0.9996,0.9989,1.0003
2024-06-08,USDT-USD,0.9999,0.9999,0.9992,1.0006
2024-06-09,USDT-USD,0.9996,0.9998,0.9991,1.0005
2024-06-10,USDT-USD,0.9999,0.9995,0.9988,1.0002
2024-06-11,USDT-USD,0.9997,0.9999,0.9992,1.0006
2024-06-12,USDT-USD,0.9996,0.9995,0.9988,1.0002
2024-06-13,USDT-USD,0.9995,0.9995,0.9988,1.0002
2024-06-14,USDT-USD,0.9995,0.9993,0.9986,1.0000
2024-06-15,USDT-USD,0.9993,0.9993,0.9986,1.0000
2024-06-16,USDT-USD,0.9996,0.9991,0.9984,0.9998
2024-06-17,USDT-USD,0.9995,0.9995,0.9988,1.0002
2024-06-18,USDT-USD,0.9998,0.9993,0.9986,1.0000
2024-06-19,USDT-USD,0.9994,0.9996,0.9989,1.0003
2024-06-20,USDT-USD,0.9995,0.9992,0.9985,0.9999
2024-06-21,USDT-USD,0.9996,0.9993,0.9986,1.0000
2024-06-22,USDT-USD,0.9993,0.9994,0.9987,1.0001
2024-06-23,USDT-USD,0.9994,0.9991,0.9985,0.9998
2024-06-24,USDT-USD,0.9998,0.9993,0.9986,1.0000
2024-06-25,USDT-USD,0.9993,0.9997,0.9990,1.0004
2024-06-26,USDT-USD,0.9986,0.9991,0.9984,0.9998
2024-06-27,USDT-USD,0.9981,0.9985,0.9978,0.9992
2024-06-28,USDT-USD,0.9984,0.9982,0.9975,0.9989
2024-06-29,USDT-USD,0.9984,0.9985,0.9978,0.9992
2024-06-30,USDT-USD,0.9990,0.9985,0.9978,0.9992
2024-07-01,USDT-USD,0.9985,0.9990,0.9983,0.9997
2024-07-02,USDT-USD,0.9989,0.9983,0.9976,0.9990
2024-07-03,USDT-USD,0.9997,0.9988,0.9981,0.9995
2024-07-04,USDT-USD,1.0000,0.9996,0.9989,1.0003
2024-07-05,USDT-USD,1.0001,0.9998,0.9991,1.0005
2024-07-06,USDT-USD,0.9998,0.9998,0.9991,1.0005
2024-07-07,USDT-USD,0.9998,0.9996,0.9989,1.0003
2024-07-08,USDT-USD,1.0000,0.9997,0.9990,1.0004
2024-07-09,USDT-USD,0.9999,0.9999,0.9992,1.0006
2024-07-10,USDT-USD,1.0001,0.9997,0.9990,1.0004
2024-07-11,USDT-USD,1.0002,0.9999,0.9992,1.0006
2024-07-12,USDT-USD,1.0003,1.0000,0.9993,1.0007
2024-07-13,USDT-USD,1.0003,0.9999,0.9992,1.0006
2024-07-14,USDT-USD,1.0008,0.9999,0.9992,1.0006
2024-07-15,USDT-USD,1.0006,1.0004,0.9997,1.0011
2024-07-16,USDT-USD,1.0002,1.0001,0.9994,1.0008
2024-07-17,USDT-USD,0.9998,0.9997,0.9990,1.0004
2024-07-18,USDT-USD,1.0005,0.9995,0.9988,1.0002
2024-07-19,USDT-USD,1.0004,1.0002,0.9995,1.0009
2024-07-20,USDT-USD,1.0002,1.0000,0.9993,1.0007
2024-07-21,USDT-USD,1.0004,0.9998,0.9991,1.0005
2024-07-22,USDT-USD,1.0002,1.0000,0.9993,1.0007
2024-07-23,USDT-USD,0.9998,0.9997,0.9990,1.0004
2024-07-24,USDT-USD,0.9998,0.9995,0.9988,1.0002
2024-07-25,USDT-USD,1.0002,0.9995,0.9988,1.0002
2024-07-26,USDT-USD,1.0001,0.9999,0.9992,1.0006
2024-07-27,USDT-USD,0.9999,0.9997,0.9990,1.0004
2024-07-28,USDT-USD,0.9998,0.9996,0.9989,1.0003
2024-07-29,USDT-USD,0.9998,0.9996,0.9989,1.0003
2024-07-30,USDT-USD,0.9997,0.9997,0.9990,1.0004
2024-07-31,USDT-USD,0.9991,0.9996,0.9989,1.0003
2024-08-01,USDT-USD,0.9987,0.9990,0.9983,0.9997
2024-08-02,USDT-USD,0.9996,0.9987,0.9980,0.9994
2024-08-03,USDT-USD,0.9997,0.9997,0.9990,1.0004
2024-08-04,USDT-USD,1.0004,0.9996,0.9989,1.0003
2024-08-05,USDT-USD,1.0006,1.0002,0.9995,1.0009
