Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2023-02-26,VCB.VN,52956.6496,52615.6472,50751.0990,54480.1955
2023-02-27,VCB.VN,52673.4608,53018.2665,51139.6537,54896.8793
2023-02-28,VCB.VN,52786.7371,52720.1151,50851.5484,54588.6819
2023-03-01,VCB.VN,51484.0613,52834.4241,50961.8421,54707.0093
2023-03-02,VCB.VN,51540.6982,51522.0467,49695.6734,53348.4201
2023-03-05,VCB.VN,52050.4408,51605.8946,49777.5120,53434.2771
2023-03-06,VCB.VN,52220.3563,52105.5161,50259.0507,53951.9815
2023-03-07,VCB.VN,52673.4593,52251.0579,50398.5680,54103.5509
2023-03-08,VCB.VN,52163.7183,52687.0239,50818.4572,54555.5907
2023-03-09,VCB.VN,51823.8894,52159.3441,50308.8602,54009.8249
2023-03-12,VCB.VN,51540.6993,51825.9170,49987.4914,53664.3456
2023-03-13,VCB.VN,51767.2517,51548.9999,49720.6174,53377.3825
2023-03-14,VCB.VN,51540.6983,51778.8209,49942.4016,53615.2402
2023-03-15,VCB.VN,50407.9367,51540.6378,49712.2552,53369.0203
2023-03-16,VCB.VN,48199.0515,50405.1793,48616.9810,52193.3777
2023-03-19,VCB.VN,48991.9849,48220.0631,46510.2269,49929.9022
2023-03-20,VCB.VN,50407.9358,49057.3957,47319.4277,50795.3638
2023-03-21,VCB.VN,51370.7867,50436.5468,48648.3485,52224.7451
2023-03-22,VCB.VN,50407.9375,51348.6351,49526.2802,53170.9900
2023-03-23,VCB.VN,51540.6999,50344.3072,48556.1119,52132.5055
2023-03-26,VCB.VN,51993.8042,51494.7934,49666.4108,53323.1728
2023-03-27,VCB.VN,52276.9979,51939.9242,50095.4680,53784.3805
2023-03-28,VCB.VN,52503.5445,52216.3659,50361.8667,54070.8682
2023-03-29,VCB.VN,51767.2486,52445.2670,50582.7279,54307.8030
2023-03-30,VCB.VN,52560.1856,51722.2470,49885.8277,53558.6632
2023-04-02,VCB.VN,52107.0791,52553.8772,50689.3321,54418.4286
2023-04-03,VCB.VN,52163.7159,52101.8479,50253.3734,53950.3225
2023-04-04,VCB.VN,51653.9779,52175.7389,50325.2551,54026.2228
2023-04-05,VCB.VN,50974.3154,51673.0098,49840.6057,53505.4046
2023-04-06,VCB.VN,50407.9367,51015.0115,49206.7211,52823.3018
2023-04-09,VCB.VN,49954.8307,50469.8071,48681.6088,52258.0055
2023-04-10,VCB.VN,50011.4708,50025.0186,48252.8910,51797.1373
2023-04-11,VCB.VN,49954.8313,50081.3355,48307.2046,51855.4692
2023-04-12,VCB.VN,50068.1036,50009.7140,48237.5894,51781.8387
2023-04-13,VCB.VN,50068.1055,50112.4520,48336.3061,51888.5890
2023-04-16,VCB.VN,49841.5560,50098.1991,48322.0591,51874.3420
2023-04-17,VCB.VN,50124.7480,49863.4791,48095.3759,51631.5853
2023-04-18,VCB.VN,50011.4687,50146.9206,48368.7683,51925.0668
2023-04-19,VCB.VN,49558.3636,50022.4564,48248.3226,51796.5902
2023-04-20,VCB.VN,49784.9163,49566.0316,47807.9686,51324.0858
2023-04-23,VCB.VN,50011.4680,49798.9360,48032.8420,51565.0330
2023-04-24,VCB.VN,50634.4861,50016.6257,48242.4919,51790.7595
2023-04-25,VCB.VN,50974.3148,50629.2640,48833.0289,52425.4961
2023-04-26,VCB.VN,51257.5108,50953.1030,49144.8126,52761.3933
2023-04-27,VCB.VN,50124.7458,51228.2055,49409.8691,53046.5389
2023-05-03,VCB.VN,50861.0448,50095.8583,48317.7091,51874.0136
2023-05-04,VCB.VN,52673.4638,50873.3268,49069.0548,52677.5989
2023-05-07,VCB.VN,52276.9975,52680.4308,50811.8641,54548.9975
2023-05-08,VCB.VN,52107.0770,52273.4626,50418.9603,54127.9649
2023-05-09,VCB.VN,51540.7001,52090.5520,50242.0806,53939.0297
2023-05-10,VCB.VN,52560.1824,51539.0188,49710.6393,53367.4044
2023-05-11,VCB.VN,51937.1637,52588.5858,50724.0376,54453.1341
2023-05-14,VCB.VN,52446.9076,51959.8369,50117.3931,53802.2839
2023-05-15,VCB.VN,52560.1805,52484.6294,50624.0995,54345.1594
2023-05-16,VCB.VN,53806.2233,52595.7162,50731.1679,54460.2644
2023-05-17,VCB.VN,53353.1170,53845.1248,51936.3706,55753.8693
2023-05-18,VCB.VN,52730.0987,53383.6143,51490.9371,55276.2915
2023-05-21,VCB.VN,52560.1830,52765.2485,50894.6758,54635.8244
2023-05-22,VCB.VN,52446.9098,52618.0157,50753.4705,54482.5639
2023-05-23,VCB.VN,52786.7400,52513.9270,50653.3940,54374.4507
2023-05-24,VCB.VN,52107.0796,52857.8140,50985.2319,54730.3992
2023-05-25,VCB.VN,52730.1002,52167.1385,50318.6640,54015.6131
2023-05-28,VCB.VN,53523.0347,52800.0411,50929.4652,54670.6170
2023-05-29,VCB.VN,53239.8424,53580.2613,51681.5564,55478.9663
2023-05-30,VCB.VN,53183.2028,53279.1742,51390.5152,55167.8331
2023-05-31,VCB.VN,53749.5873,53225.6933,51339.0437,55112.3430
2023-06-01,VCB.VN,55505.3682,53799.8652,51893.1266,55706.6070
2023-06-04,VCB.VN,56071.7482,55557.5403,53588.5163,57526.5676
2023-06-05,VCB.VN,54938.9896,56116.2004,54127.0809,58105.3199
2023-06-06,VCB.VN,56638.1291,54956.9463,53008.0110,56905.8816
2023-06-07,VCB.VN,56921.3193,56695.4989,54686.2907,58704.7104
2023-06-08,VCB.VN,57204.5085,56990.9061,54971.6519,59010.1637
2023-06-11,VCB.VN,58054.0817,57262.9259,55233.6223,59292.2296
2023-06-12,VCB.VN,58110.7201,58120.3674,56060.9291,60179.8092
2023-06-13,VCB.VN,58620.4639,58183.0441,56121.5930,60244.4952
2023-06-14,VCB.VN,59470.0366,58704.1264,56624.5925,60783.6604
2023-06-15,VCB.VN,57600.9802,59567.5141,57457.8456,61677.1862
2023-06-18,VCB.VN,56581.4937,57697.2223,55653.8576,59740.5906
2023-06-19,VCB.VN,56638.1303,56725.0266,54717.8243,58732.2290
2023-06-20,VCB.VN,56864.6853,56806.9237,54797.7122,58816.1352
2023-06-21,VCB.VN,56581.4925,57026.6155,55009.3671,59043.8640
2023-06-22,VCB.VN,56638.1303,56723.8058,54716.6034,58731.0081
2023-06-25,VCB.VN,56638.1289,56770.6868,54761.4787,58779.8983
2023-06-26,VCB.VN,57261.1504,56760.5254,54751.3139,58769.7369
