Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2025-04-07,VHM.VN,48500.0026,46912.8563,45174.7583,48650.9542
2025-04-08,VHM.VN,51799.9985,48760.8507,46967.2816,50554.4228
2025-04-09,VHM.VN,53500.0012,51646.5132,49730.9042,53562.1159
2025-04-10,VHM.VN,57200.0018,53165.3176,51186.8412,55143.7940
2025-04-13,VHM.VN,57499.9987,56830.7669,54715.4647,58946.0691
2025-04-14,VHM.VN,56499.9989,57165.3822,55038.9858,59291.7821
2025-04-15,VHM.VN,56799.9981,56133.5007,54044.0817,58222.9163
2025-04-16,VHM.VN,55000.0011,56570.5820,54470.0687,58671.0953
2025-04-17,VHM.VN,55000.0000,54817.1225,52783.1748,56851.0669
2025-04-20,VHM.VN,57499.9976,55055.5009,53021.5564,57089.4486
2025-04-21,VHM.VN,58500.0011,57493.4676,55367.0712,59619.8675
2025-04-22,VHM.VN,61200.0033,58215.0703,56051.6895,60378.4475
2025-04-23,VHM.VN,62300.0027,60898.7060,58635.4805,63161.9350
2025-04-24,VHM.VN,58500.0014,61956.8253,59652.9209,64260.7333
2025-04-27,VHM.VN,58400.0000,58183.1340,56019.7533,60346.5078
2025-04-28,VHM.VN,60899.9974,58483.0267,56323.3440,60642.7024
2025-05-04,VHM.VN,60900.0000,60912.3490,58660.2178,63164.4838
2025-05-05,VHM.VN,61999.9973,60626.2603,58374.1291,62878.3951
2025-05-06,VHM.VN,62199.9998,61774.4311,59481.6210,64067.2412
2025-05-07,VHM.VN,62200.0000,61943.6438,59643.4338,64243.8500
2025-05-08,VHM.VN,62300.0036,61975.5498,59675.3398,64275.7560
2025-05-11,VHM.VN,62000.0006,62120.1801,59816.2758,64424.0844
2025-05-12,VHM.VN,60400.0015,61840.1406,59547.3305,64132.9544
2025-05-13,VHM.VN,58000.0012,60291.7084,58058.0640,62525.3528
2025-05-14,VHM.VN,58000.0000,58084.8157,55939.9254,60229.6991
2025-05-15,VHM.VN,58800.0004,58267.3283,56122.4380,60412.2117
2025-05-18,VHM.VN,62900.0004,58892.6446,56718.1767,61067.1196
2025-05-19,VHM.VN,67299.9965,62784.3130,60458.2202,65110.4058
2025-05-20,VHM.VN,68100.0000,66894.4963,64405.6840,69383.3087
2025-05-21,VHM.VN,68800.0039,67702.8965,65184.5035,70221.2895
2025-05-22,VHM.VN,73500.0002,68352.5905,65808.3068,70896.8700
2025-05-25,VHM.VN,74300.0037,73094.6271,70376.5334,75812.7165
2025-05-26,VHM.VN,75700.0035,73891.0430,71143.3646,76638.7126
2025-05-27,VHM.VN,76900.0035,75256.5536,72457.1065,78056.0053
2025-05-28,VHM.VN,77599.9978,76508.9412,73665.1171,79352.7654
2025-05-29,VHM.VN,76999.9988,77248.0455,74378.3348,80117.7562
2025-06-01,VHM.VN,77600.0021,76711.8492,73864.3270,79559.3760
2025-06-02,VHM.VN,77099.9982,77456.5642,74586.8489,80326.2749
2025-06-03,VHM.VN,76800.0000,76943.1733,74091.9485,79794.3982
2025-06-04,VHM.VN,75999.9985,76728.8040,73888.6734,79568.9301
2025-06-05,VHM.VN,70700.0003,75965.3957,73154.8543,78775.9371
2025-06-08,VHM.VN,72599.9964,70747.3996,68132.8565,73361.9469
2025-06-09,VHM.VN,72099.9981,73140.7477,70455.9367,75825.5587
2025-06-10,VHM.VN,69999.9990,72069.8445,69403.5239,74736.1607
2025-06-11,VHM.VN,68400.0009,70000.0167,67411.3560,72588.6691
2025-06-12,VHM.VN,67399.9997,68593.8593,66064.3680,71123.3425
2025-06-15,VHM.VN,69599.9990,67623.0917,65130.5892,70115.6021
2025-06-16,VHM.VN,71400.0020,69783.6036,67209.7394,72357.4719
2025-06-17,VHM.VN,71699.9979,71128.6648,68488.2351,73769.0944
2025-06-18,VHM.VN,70199.9991,71314.8114,68663.2832,73966.3353
2025-06-19,VHM.VN,73999.9984,69853.8708,67257.8139,72449.9193
2025-06-22,VHM.VN,77300.0038,73864.8592,71128.2750,76601.4390
2025-06-23,VHM.VN,77899.9991,76820.0016,73961.3806,79678.6180
2025-06-24,VHM.VN,76000.0018,77400.4518,74519.6423,80281.2568
2025-06-25,VHM.VN,76999.9962,75522.3753,72711.8294,78332.9167
2025-06-26,VHM.VN,76699.9990,76774.7078,73927.1810,79622.2346
2025-06-29,VHM.VN,76300.0012,76390.1501,73553.7221,79226.5826
2025-06-30,VHM.VN,76000.0021,76076.9060,73255.2703,78898.5416
2025-07-01,VHM.VN,76300.0007,75853.2205,73042.6791,78663.7664
2025-07-02,VHM.VN,76000.0021,76184.8761,73363.2405,79006.5163
2025-07-03,VHM.VN,76900.0020,75835.5310,73024.9896,78646.0724
2025-07-06,VHM.VN,79200.0032,76782.6187,73938.7945,79626.4428
2025-07-07,VHM.VN,81800.0038,78968.8515,76039.9668,81897.7315
2025-07-08,VHM.VN,86000.0007,81410.7614,78385.7314,84435.7915
2025-07-09,VHM.VN,87900.0030,85541.6998,82361.3503,88722.0492
2025-07-10,VHM.VN,88799.9981,87417.2137,84166.5955,90667.8320
2025-07-13,VHM.VN,87399.9982,88305.1622,85021.2665,91589.0579
2025-07-14,VHM.VN,88000.0031,86971.6794,83739.5568,90203.8072
2025-07-15,VHM.VN,94099.9994,87790.5955,84536.2792,91044.9066
