Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2025-04-07,VIC.VN,56999.9977,54906.1787,52675.8053,57136.5554
2025-04-08,VIC.VN,60899.9974,56872.8703,54565.5840,59180.1531
2025-04-09,VIC.VN,65100.0023,60714.5109,58249.3577,63179.6642
2025-04-10,VIC.VN,69600.0024,65041.7767,62406.6129,67676.9366
2025-04-13,VIC.VN,70499.9969,69651.6984,66834.3763,72469.0164
2025-04-14,VIC.VN,67900.0009,70601.7167,67747.9679,73455.4655
2025-04-15,VIC.VN,70999.9996,68008.6499,65260.1417,70757.1460
2025-04-16,VIC.VN,66100.0009,70945.1669,68071.1830,73819.1593
2025-04-17,VIC.VN,61500.0004,66005.5338,63329.8913,68681.1724
2025-04-20,VIC.VN,58999.9987,61335.8249,58846.3845,63825.2617
2025-04-21,VIC.VN,58599.9994,58876.3326,56488.0925,61264.5763
2025-04-22,VIC.VN,62699.9982,58562.9795,56190.9273,60935.0282
2025-04-23,VIC.VN,66999.9979,62697.9856,60159.9708,65235.9968
2025-04-24,VIC.VN,67999.9992,66893.1097,64181.0364,69605.1830
2025-04-27,VIC.VN,68000.0000,68051.7097,65299.1576,70804.2617
2025-04-28,VIC.VN,70000.0019,68117.3701,65364.8181,70869.9222
2025-05-04,VIC.VN,70500.0031,70081.5439,67248.0303,72915.0534
2025-05-05,VIC.VN,73399.9974,70545.3157,67691.5669,73399.0645
2025-05-06,VIC.VN,78500.0028,73475.1359,70504.0033,76446.2730
2025-05-07,VIC.VN,76500.0000,78543.0933,75365.5101,81720.6717
2025-05-08,VIC.VN,79400.0044,76578.3184,73481.7019,79674.9394
2025-05-11,VIC.VN,79600.0000,79459.6214,76245.6121,82673.6307
2025-05-12,VIC.VN,79800.0009,79585.8044,76363.6993,82807.9094
2025-05-13,VIC.VN,79800.0000,79854.4994,76624.3034,83084.7002
2025-05-14,VIC.VN,79999.9992,79834.3416,76604.1408,83064.5423
2025-05-15,VIC.VN,85600.0042,80032.7206,76794.4241,83271.0171
2025-05-18,VIC.VN,91500.0024,85637.5417,82172.5695,89102.5189
2025-05-19,VIC.VN,93500.0049,91500.9053,87797.1092,95204.7070
2025-05-20,VIC.VN,92500.0026,93636.9295,89852.1704,97421.6885
2025-05-21,VIC.VN,93000.0019,92697.1492,88952.8689,96441.4296
2025-05-22,VIC.VN,94499.9986,93118.7471,89354.2274,96883.2668
2025-05-25,VIC.VN,94500.0000,94550.5360,90725.3039,98375.7738
2025-05-26,VIC.VN,97000.0017,94551.7527,90726.5149,98376.9904
2025-05-27,VIC.VN,97000.0000,97068.5588,93142.1243,100994.9933
2025-05-28,VIC.VN,98400.0036,97034.0539,93107.6252,100960.4884
2025-05-29,VIC.VN,98000.0004,98473.9237,94490.8131,102457.0284
2025-06-01,VIC.VN,98100.0023,98037.6995,94070.7862,102004.6127
2025-06-02,VIC.VN,98100.0000,98140.6148,94169.6595,102111.5759
2025-06-03,VIC.VN,98000.0009,98113.5305,94142.5694,102084.4916
2025-06-04,VIC.VN,97000.0005,98014.9770,94048.0638,101981.8902
2025-06-05,VIC.VN,90299.9979,97013.9338,93087.5050,100940.3683
2025-06-08,VIC.VN,90599.9986,90309.5697,86654.3425,93964.7969
2025-06-09,VIC.VN,90199.9978,90481.7036,86814.3328,94149.0744
2025-06-10,VIC.VN,86799.9979,90084.3603,86433.1810,93735.5343
2025-06-11,VIC.VN,85499.9983,86778.3481,83264.7964,90291.8947
2025-06-12,VIC.VN,85400.0024,85465.7892,82004.8598,88926.7135
2025-06-15,VIC.VN,87700.0031,85361.3040,81904.4225,88818.1855
2025-06-16,VIC.VN,87999.9963,87660.3978,84110.4152,91210.3803
2025-06-17,VIC.VN,89399.9987,87927.8312,84365.7050,91489.9521
2025-06-18,VIC.VN,86799.9999,89380.4865,85761.6901,92999.2828
2025-06-19,VIC.VN,92800.0031,86753.0488,83239.5023,90266.6057
2025-06-22,VIC.VN,95799.9950,92698.0690,88941.6451,96454.4930
2025-06-23,VIC.VN,95800.0000,95595.5718,91717.7117,99473.4262
2025-06-24,VIC.VN,95000.0001,95805.0021,91927.1420,99682.8621
2025-06-25,VIC.VN,95500.0049,94985.2097,91139.7326,98830.6868
2025-06-26,VIC.VN,95600.0013,95406.0438,91540.3274,99271.7603
2025-06-29,VIC.VN,95600.0000,95486.8622,91617.0978,99356.6208
2025-06-30,VIC.VN,95399.9987,95522.0429,91652.2785,99391.8015
2025-07-01,VIC.VN,94499.9979,95325.7144,91464.0515,99187.3830
2025-07-02,VIC.VN,91900.0020,94436.3286,90611.0909,98261.5664
2025-07-03,VIC.VN,93000.0031,91852.1745,88132.1814,95572.1621
2025-07-06,VIC.VN,93299.9997,92946.5134,89181.9937,96711.0275
2025-07-07,VIC.VN,94999.9990,93218.5797,89441.9220,96995.2486
2025-07-08,VIC.VN,101600.0056,94993.1088,91147.6317,98838.5916
2025-07-09,VIC.VN,107999.9969,101590.5105,97477.8739,105703.1410
2025-07-10,VIC.VN,112999.9938,108004.8022,103633.1084,112376.5025
2025-07-13,VIC.VN,111600.0021,113154.5218,108580.4280,117728.6156
2025-07-14,VIC.VN,117399.9989,111806.4211,107289.0041,116323.8447
2025-07-15,VIC.VN,122000.0026,117548.5028,112796.3096,122300.7029
