Date,Ticker,Actual_Price,Predicted_Price,Lower_CI_Price,Upper_CI_Price
2025-04-07,VPB.VN,15528.0422,15903.3983,15412.9644,16393.8332
2025-04-08,VPB.VN,16598.9420,15624.7816,15143.4010,16106.1623
2025-04-09,VPB.VN,16988.3590,16719.5540,16204.9747,17234.1314
2025-04-10,VPB.VN,16842.3284,16949.8123,16423.1617,17476.4639
2025-04-13,VPB.VN,16452.9106,16804.1315,16282.0079,17326.2550
2025-04-14,VPB.VN,16355.5561,16448.6629,15938.6116,16958.7142
2025-04-15,VPB.VN,16112.1694,16385.3047,15878.2705,16892.3370
2025-04-16,VPB.VN,16501.5873,16141.0335,15641.5454,16640.5226
2025-04-17,VPB.VN,16258.2012,16543.5215,16031.9611,17055.0828
2025-04-20,VPB.VN,16160.8470,16243.2921,15739.2760,16747.3073
2025-04-21,VPB.VN,16258.2016,16178.0390,15677.0409,16679.0351
2025-04-22,VPB.VN,16209.5231,16277.5747,15773.5585,16781.5889
2025-04-23,VPB.VN,16063.4918,16211.2046,15708.6984,16713.7117
2025-04-24,VPB.VN,16112.1694,16065.1467,15567.1666,16563.1248
2025-04-27,VPB.VN,16112.1689,16120.1611,15620.6720,16619.6501
2025-04-28,VPB.VN,16160.8458,16099.6142,15600.1261,16599.1023
2025-05-04,VPB.VN,16452.9095,16141.8300,15640.8328,16642.8281
2025-05-05,VPB.VN,16550.2632,16419.0506,15908.9993,16929.1019
2025-05-06,VPB.VN,16550.2637,16515.6385,16002.5682,17028.7088
2025-05-07,VPB.VN,16550.2637,16515.7559,16002.6865,17028.8252
2025-05-08,VPB.VN,16891.0051,16520.6853,16007.6150,17033.7556
2025-05-11,VPB.VN,17231.7453,16861.2564,16337.6239,17384.8890
2025-05-12,VPB.VN,18399.9997,17171.7074,16637.5117,17705.9032
2025-05-13,VPB.VN,18549.9991,18325.3766,17754.9631,18895.7879
2025-05-14,VPB.VN,18050.0001,18433.6939,17858.6303,19008.7564
2025-05-15,VPB.VN,18199.9991,17968.4861,17408.9229,18528.0493
2025-05-18,VPB.VN,18200.0000,18163.8153,17599.6030,18728.0286
2025-05-19,VPB.VN,18449.9997,18150.6945,17586.4823,18714.9068
2025-05-20,VPB.VN,18300.0001,18412.5935,17840.6300,18984.5559
2025-05-21,VPB.VN,18099.9995,18245.2425,17677.9302,18812.5548
2025-05-22,VPB.VN,18150.0001,18073.6978,17512.5856,18634.8111
2025-05-25,VPB.VN,18100.0002,18144.2912,17581.6279,18706.9534
2025-05-26,VPB.VN,17999.9998,18088.8965,17527.7843,18650.0098
2025-05-27,VPB.VN,18149.9999,17992.3750,17434.3629,18550.3871
2025-05-28,VPB.VN,17949.9999,18148.5947,17585.9325,18711.2569
2025-05-29,VPB.VN,18000.0009,17927.2678,17370.8057,18483.7299
2025-06-01,VPB.VN,18299.9997,18001.0428,17443.0307,18559.0560
2025-06-02,VPB.VN,18250.0004,18286.4298,17719.1175,18853.7421
2025-06-03,VPB.VN,18099.9999,18204.5262,17638.7629,18770.2896
2025-06-04,VPB.VN,17800.0004,18065.1102,17503.9980,18626.2235
2025-06-05,VPB.VN,17850.0010,17778.9876,17227.1746,18330.7996
2025-06-08,VPB.VN,17950.0000,17850.8937,17297.5306,18404.2568
2025-06-09,VPB.VN,18000.0009,17929.0609,17372.5988,18485.5230
2025-06-10,VPB.VN,18200.0005,17965.0959,17407.0827,18523.1080
2025-06-11,VPB.VN,18150.0003,18160.4936,17596.2802,18724.7069
2025-06-12,VPB.VN,18799.9990,18094.0253,17531.3620,18656.6876
2025-06-15,VPB.VN,18800.0000,18758.2600,18175.4473,19341.0727
2025-06-16,VPB.VN,18499.9995,18708.1482,18125.3356,19290.9609
2025-06-17,VPB.VN,18500.0000,18436.2769,17862.7644,19009.7893
2025-06-18,VPB.VN,18449.9998,18476.7576,17903.2451,19050.2712
2025-06-19,VPB.VN,18399.9997,18424.8211,17852.8576,18996.7825
2025-06-22,VPB.VN,18549.9991,18382.1113,17811.6989,18952.5237
2025-06-23,VPB.VN,18399.9998,18536.1792,17961.1156,19111.2406
2025-06-24,VPB.VN,18350.0003,18370.6670,17800.2535,18941.0783
2025-06-25,VPB.VN,18500.0006,18341.4185,17772.5561,18910.2819
2025-06-26,VPB.VN,18500.0000,18495.8859,17922.3734,19069.3983
2025-06-29,VPB.VN,18449.9998,18479.3445,17905.8320,19052.8581
2025-06-30,VPB.VN,18599.9999,18437.0334,17865.0709,19008.9958
2025-07-01,VPB.VN,18650.0000,18592.4723,18015.8598,19169.0859
2025-07-02,VPB.VN,18749.9997,18628.1243,18049.9617,19206.2869
2025-07-03,VPB.VN,19300.0004,18730.6322,18149.3685,19311.8960
2025-07-06,VPB.VN,19600.0003,19274.9910,18676.6780,19873.3051
2025-07-07,VPB.VN,20050.0010,19531.2297,18923.6154,20138.8441
2025-07-08,VPB.VN,20149.9989,19984.1718,19362.6083,20605.7353
2025-07-09,VPB.VN,20150.0000,20073.8593,19449.1957,20698.5241
2025-07-10,VPB.VN,21000.0003,20092.3336,19467.6688,20716.9984
2025-07-13,VPB.VN,20749.9997,20956.9053,20305.8912,21607.9195
2025-07-14,VPB.VN,20849.9999,20656.0183,20012.7531,21299.2835
2025-07-15,VPB.VN,20900.0011,20810.0603,20163.6962,21456.4256
